ID,优先纳入,PC,ContaminatingSample,abs_contam,rank
HG02281,FIRST,4,-48.1545,48.1545,1
HG02281,FIRST,1,32.6456,32.6456,2
SD221,FIRST,4,31.2162,31.2162,3
HKU_421,FIRST,4,25.1959,25.1959,4
G2600,FIRST,4,24.2653,24.2653,5
P82,FIRST,3,19.6657,19.6657,6
HGDP00555,FIRST,4,17.9976,17.9976,7
G2600,FIRST,2,-17.8665,17.8665,8
HGDP00908,FIRST,2,-14.6771,14.6771,9
SD221,FIRST,2,-14.542,14.542,10
HKU_355,FIRST,4,-14.4563,14.4563,11
P82,FIRST,4,14.0768,14.0768,12
Q1789,FIRST,4,13.1346,13.1346,13
HG02281,FIRST,2,-13.0002,13.0002,14
HKU_354,FIRST,3,-12.1309,12.1309,15
HK79C,FIRST,4,11.6715,11.6715,16
HKU_355,FIRST,3,11.2326,11.2326,17
L106,FIRST,4,-11.172,11.172,18
HG03575,FIRST,3,10.8334,10.8334,19
SD210,FIRST,3,10.7141,10.7141,20
HK157C,FIRST,3,-10.6301,10.6301,21
SD210,FIRST,2,-10.4873,10.4873,22
HGDP01216,FIRST,4,-10.4695,10.4695,23
Q1789,FIRST,3,-10.3893,10.3893,24
NA20291,FIRST,2,10.1283,10.1283,25
HG02281,FIRST,3,10.0142,10.0142,26
1139606,FIRST,3,9.94364,9.94364,27
B-FS25071001,FIRST,4,-9.75671,9.75671,28
HG03575,FIRST,2,-9.65651,9.65651,29
dujunxiaomu,FIRST,4,-9.46568,9.46568,30
NA19191,SECONDE,1,9.37817,9.37817,31
L91,FIRST,4,9.10409,9.10409,32
HG03575,FIRST,1,9.0909,9.0909,33
HKU_437,FIRST,3,-9.07925,9.07925,34
1139606,FIRST,2,-8.95561,8.95561,35
Q1669,FIRST,1,-8.94598,8.94598,36
HKU_421,FIRST,2,-8.8603,8.8603,37
C535C,FIRST,2,8.79356,8.79356,38
VH10C,FIRST,3,8.79081,8.79081,39
P21,FIRST,2,-8.62146,8.62146,40
HGDP00450,FIRST,3,8.342,8.342,41
HGDP01225,FIRST,2,-8.31649,8.31649,42
NA21120,FIRST,1,-8.2091,8.2091,43
HGDP00555,FIRST,2,-7.85478,7.85478,44
Q1789,FIRST,1,-7.83841,7.83841,45
HKU_421,FIRST,3,-7.55867,7.55867,46
dujunxiaomu,FIRST,1,-7.52985,7.52985,47
C794C,FIRST,1,7.50677,7.50677,48
SZ_BA20C,FIRST,3,-7.47881,7.47881,49
HK130C,FIRST,1,7.28037,7.28037,50
