ID,优先纳入,PC,role,value
2613,FIRST,1,Contaminating,-0.0367549
2613,FIRST,2,Contaminating,-0.0280799
2613,FIRST,3,Contaminating,-0.144532
2613,FIRST,4,Contaminating,0.0339889
1000434,FIRST,1,Contaminating,-0.0225682
1000434,FIRST,2,Contaminating,-0.0382389
1000434,FIRST,3,Contaminating,-0.0302813
1000434,FIRST,4,Contaminating,0.0147248
1000592,FIRST,1,Contaminating,-0.00888555
1000592,FIRST,2,Contaminating,-0.0948777
1000592,FIRST,3,Contaminating,-0.0532668
1000592,FIRST,4,Contaminating,-0.0981688
1000612,FIRST,1,Contaminating,-0.00480512
1000612,FIRST,2,Contaminating,-0.0681188
1000612,FIRST,3,Contaminating,0.101922
1000612,FIRST,4,Contaminating,0.00978151
1000753,FIRST,1,Contaminating,-0.0475424
1000753,FIRST,2,Contaminating,-0.0960847
1000753,FIRST,3,Contaminating,-0.192159
1000753,FIRST,4,Contaminating,0.0526678
1000810,FIRST,1,Contaminating,0.0451486
1000810,FIRST,2,Contaminating,-0.171293
1000810,FIRST,3,Contaminating,0.164502
1000810,FIRST,4,Contaminating,0.248312
1000907,FIRST,1,Contaminating,0.00166428
1000907,FIRST,2,Contaminating,-0.00896457
1000907,FIRST,3,Contaminating,-0.102087
1000907,FIRST,4,Contaminating,-0.0212358
1000917,FIRST,1,Contaminating,-0.0138908
1000917,FIRST,2,Contaminating,-0.033919
1000917,FIRST,3,Contaminating,-0.0345363
1000917,FIRST,4,Contaminating,0.0342938
1001070,FIRST,1,Contaminating,-0.0164749
1001070,FIRST,2,Contaminating,-0.0482684
1001070,FIRST,3,Contaminating,0.0484924
1001070,FIRST,4,Contaminating,0.067383
1001091,FIRST,1,Contaminating,-0.0234201
1001091,FIRST,2,Contaminating,-0.0168457
1001091,FIRST,3,Contaminating,-0.00884946
1001091,FIRST,4,Contaminating,0.00619889
1001099,FIRST,1,Contaminating,-0.0245659
1001099,FIRST,2,Contaminating,-0.0409681
1001099,FIRST,3,Contaminating,0.0240668
1001099,FIRST,4,Contaminating,0.0636393
1001194,FIRST,1,Contaminating,-0.0220027
1001194,FIRST,2,Contaminating,-0.0469234
1001194,FIRST,3,Contaminating,-0.0793858
1001194,FIRST,4,Contaminating,0.0821086
1001738,FIRST,1,Contaminating,-0.0228795
1001738,FIRST,2,Contaminating,-0.0221167
1001738,FIRST,3,Contaminating,0.0189326
1001738,FIRST,4,Contaminating,-0.000888317
1001746,FIRST,1,Contaminating,0.00736093
1001746,FIRST,2,Contaminating,-0.0449047
1001746,FIRST,3,Contaminating,0.0536437
1001746,FIRST,4,Contaminating,0.175333
1001969,FIRST,1,Contaminating,-0.0170345
1001969,FIRST,2,Contaminating,-0.0374126
1001969,FIRST,3,Contaminating,-0.000600072
1001969,FIRST,4,Contaminating,0.0149861
1002052,FIRST,1,Contaminating,-0.026546
1002052,FIRST,2,Contaminating,-0.0447504
1002052,FIRST,3,Contaminating,0.015403
1002052,FIRST,4,Contaminating,-0.00206752
1002259,FIRST,1,Contaminating,0.0194388
1002259,FIRST,2,Contaminating,-0.0394923
1002259,FIRST,3,Contaminating,0.055881
1002259,FIRST,4,Contaminating,0.0199295
1002448,FIRST,1,Contaminating,-0.0111756
1002448,FIRST,2,Contaminating,-0.0696573
1002448,FIRST,3,Contaminating,0.0153185
1002448,FIRST,4,Contaminating,0.0785642
1002730,FIRST,1,Contaminating,-0.0195187
1002730,FIRST,2,Contaminating,-0.0349554
