ID,优先纳入,AVG_DP,FREEMIX,status
1000434,FIRST,30.3383,0.00107859,PASS
1000592,FIRST,29.129,0.00024483,PASS
1000612,FIRST,30.1763,0.000308796,PASS
1000753,FIRST,30.5781,0.000404546,PASS
1000810,FIRST,30.6572,8.61e-05,PASS
1000907,FIRST,29.9488,0.000366642,PASS
1000917,FIRST,29.5399,0.00180295,PASS
1001070,FIRST,30.532,0.000833009,PASS
1001091,FIRST,30.2767,0.000980419,PASS
1001099,FIRST,30.7874,0.00117091,PASS
1001194,FIRST,30.1748,0.000462054,PASS
1001738,FIRST,30.0337,0.00119731,PASS
1001746,FIRST,29.8694,0.000293709,PASS
1001969,FIRST,29.6852,0.00149861,PASS
1002052,FIRST,28.8393,0.00100016,PASS
1002259,FIRST,28.2496,0.000444802,PASS
1002448,FIRST,30.0438,0.000555548,PASS
1002730,FIRST,29.854,0.00132116,PASS
1002806,FIRST,30.8441,0.000348492,PASS
1003028,FIRST,28.3918,0.000133915,PASS
1006061,FIRST,27.806,0.000332528,PASS
1006189,FIRST,27.9536,0.00114758,PASS
1006194,FIRST,28.4843,0.000224829,PASS
1006204,FIRST,29.7671,0.00216543,PASS
1006307,FIRST,29.6782,0.000396375,PASS
1006464,FIRST,30.1129,0.000363194,PASS
1006683,FIRST,29.7142,0.000842059,PASS
1006739,FIRST,30.1538,0.000795854,PASS
1006749,FIRST,30.0008,0.0016519,PASS
1006900,FIRST,30.0019,0.000706371,PASS
1006999,FIRST,30.1126,0.000642961,PASS
1007120,FIRST,29.2473,0.000441801,PASS
1007170,FIRST,29.1014,0.000564753,PASS
1007607,FIRST,28.877,0.00387954,PASS
1007633,FIRST,28.5802,0.000850464,PASS
1007642,FIRST,29.0804,0.00041011,PASS
1007647,FIRST,28.4059,0.00103563,PASS
1009658,FIRST,27.8426,0.000493662,PASS
1009684,FIRST,28.8486,0.000839511,PASS
1009700,FIRST,28.6325,0.00089007,PASS
1009704,FIRST,29.5335,0.000599667,PASS
1009782,FIRST,29.6104,0.000426273,PASS
1009784,FIRST,30.105,0.000410081,PASS
1009796,FIRST,29.083,0.000603886,PASS
1009802,FIRST,29.7699,0.000841635,PASS
1009812,FIRST,29.7357,0.00193006,PASS
102YWC,FIRST,27.8599,0.00102889,PASS
107FJW,FIRST,27.9897,0.00114279,PASS
1138837,FIRST,30.3145,0.000618073,PASS
1138912,FIRST,29.8499,0.000474093,PASS
1139281,FIRST,30.1886,0.00047749,PASS
1139354,FIRST,30.2413,0.000609101,PASS
1139461,FIRST,30.3202,0.000228574,PASS
1139606,FIRST,30.1143,0.000138859,PASS
1139929,FIRST,30.7327,0.000210824,PASS
1139962,FIRST,30.659,0.00058427,PASS
1140048,FIRST,29.9981,0.000551173,PASS
1140464,FIRST,30.3373,0.000257756,PASS
1140557,FIRST,30.0788,0.00026732,PASS
1196221,FIRST,30.9556,0.000138424,PASS
1196256,FIRST,30.4601,0.000740339,PASS
1196905,FIRST,30.1929,0.000188634,PASS
1197024,FIRST,29.735,0.000463021,PASS
1199393,FIRST,29.9657,0.000354352,PASS
1199524,FIRST,29.2016,6.3e-05,PASS
1199767,FIRST,30.3819,0.000162806,PASS
1199840,FIRST,31.207,7.3e-05,PASS
119SZX,FIRST,28.7237,0.00115869,PASS
1200084,FIRST,29.4368,0.000175971,PASS
1200524,FIRST,30.31,1.43e-07,PASS
1200618,FIRST,29.5337,0.000520258,PASS
1200709,FIRST,29.3951,0.000723942,PASS
1200900,FIRST,29.8982,0.000555929,PASS
1201142,FIRST,29.0542,0.00287197,PASS
1201536,FIRST,29.7431,0.000596797,PASS
1201570,FIRST,29.5166,0.00443921,PASS
1201606,FIRST,29.9604,0.000407995,PASS
1201631,FIRST,29.9461,0.000412184,PASS
1206666,FIRST,30.5197,0.000305884,PASS
1206844,FIRST,29.6267,0.000337701,PASS
1206992,FIRST,29.9531,0.00037766,PASS
1207280,FIRST,29.7185,0.000751233,PASS
1207299,FIRST,29.4587,0.000203479,PASS
1207363,FIRST,29.3414,0.000491732,PASS
1207950,FIRST,29.4793,0.000186649,PASS
1208122,FIRST,30.7864,0.00151167,PASS
1208475,FIRST,30.0302,0.000410188,PASS
1208781,FIRST,30.236,0.000395701,PASS
1208821,FIRST,29.3908,0.000236028,PASS
1209159,FIRST,30.1798,0.000555243,PASS
1209371,FIRST,29.2055,0.000289438,PASS
1209411,FIRST,29.4613,0.000353291,PASS
1209488,FIRST,30.0393,0.000197957,PASS
1209674,FIRST,30.2748,0.000667214,PASS
1209861,FIRST,30.3766,0.000270063,PASS
1210281,FIRST,30.0993,0.000419095,PASS
1210651,FIRST,29.6483,0.000239578,PASS
1211776,FIRST,29.4554,0.000380426,PASS
1211839,FIRST,29.8825,0.00028116,PASS
1211997,FIRST,25.2841,0.000425247,PASS
1212230,FIRST,29.8779,0.000800535,PASS
1212250,FIRST,29.905,0.000357874,PASS
1GJM,FIRST,31.9154,0.00087508,PASS
2023072001-1A,FIRST,29.3078,7.46e-05,PASS
2023072002-1A,FIRST,32.7818,9.51e-05,PASS
2023072003-1A,FIRST,29.7354,7.62e-05,PASS
2613,FIRST,29.7606,0.000550893,PASS
2BT22060700001,FIRST,50.1091,9.71e-05,PASS
2BT22060700002,FIRST,37.9568,3.53e-05,PASS
2BT22060700003,FIRST,44.958,0.00013111,PASS
2BT22060700004,FIRST,31.7922,7.65e-05,PASS
2BT22060700005,FIRST,41.6065,0.000155914,PASS
2BT22060700006,FIRST,46.5912,5.89e-05,PASS
2BT22060700007,FIRST,41.9116,0.00121358,PASS
2BT22060700008,FIRST,57.9603,0.00118897,PASS
2BT22060700009,FIRST,53.2672,0.00145202,PASS
2BT22060700010,FIRST,47.8054,0.0010067,PASS
2BT22060700011,FIRST,43.9852,0.00138887,PASS
2BT22060700012,FIRST,38.24,0.00175048,PASS
2BT22060700013,FIRST,37.5134,0.00135647,PASS
2BT22060700014,FIRST,55.5144,0.000873896,PASS
2BT22060700015,FIRST,50.8998,0.00100996,PASS
2BT22060700016,FIRST,63.1958,0.00121838,PASS
2BT22060700017,FIRST,51.9623,0.00105883,PASS
2BT22060700018,FIRST,41.1239,0.00146887,PASS
2BT22060700019,FIRST,36.9584,0.00159235,PASS
2BT22060700020,FIRST,37.257,0.00218201,PASS
2BT22060700021,FIRST,42.8644,0.0010331,PASS
2BT22060700022,FIRST,39.6925,0.00076765,PASS
2BT22060700023,FIRST,56.0381,0.00119237,PASS
2BT22060700024,FIRST,61.4937,0.00086357,PASS
2BT22060700025,FIRST,60.3822,0.00145653,PASS
2BT22060700026,FIRST,52.2388,0.000890599,PASS
2BT22060700027,FIRST,50.0915,0.00105746,PASS
2BT22060700028,FIRST,45.5046,0.00114912,PASS
2BT22060700029,FIRST,52.5776,0.00104989,PASS
2BT22060700030,FIRST,47.7729,0.00145634,PASS
2ZDM,FIRST,27.7589,0.00062154,PASS
3hFib,FIRST,32.8416,0.000569953,PASS
3LJW,FIRST,29.4052,0.00118783,PASS
42LDH,FIRST,34.1386,0.00035722,PASS
43CJQ,FIRST,29.0527,0.000775846,PASS
45LRH,FIRST,28.5516,0.00079661,PASS
4WQ,FIRST,32.2456,0.000431315,PASS
56PSL,FIRST,29.9269,0.00141647,PASS
5C3,FIRST,36.2334,0.000721608,PASS
5CJ,FIRST,27.184,0.00104953,PASS
6ZLF,FIRST,33.2286,0.000803062,PASS
76YXN,FIRST,29.1011,0.000431279,PASS
77HZH,FIRST,42.7398,0.00061017,PASS
7JZW,FIRST,30.8196,0.000383359,PASS
82WXQ,FIRST,28.9864,0.00109551,PASS
