metric,value
rows_before_intersection,8754
rows_after_intersection,8754
unique_id_after_intersection,8546
numeric_valid_rows,8735
numeric_invalid_rows,19
qc_state_count_PASS,8724
qc_state_count_FAIL,30
sex_count_F,4834
sex_count_M,3920
mean_mtDNA_depth_q0.00,292.81
mean_mtDNA_depth_q0.01,696.8538
mean_mtDNA_depth_q0.05,1385.001
mean_mtDNA_depth_q0.25,2496.79
mean_mtDNA_depth_q0.50,5893.4
mean_mtDNA_depth_q0.75,12244.545
mean_mtDNA_depth_q0.95,16558.84
mean_mtDNA_depth_q0.99,20620.3664
mean_mtDNA_depth_q1.00,34608.65
mean_autosomal_depth_q0.00,10.633805
mean_autosomal_depth_q0.01,24.21878176
mean_autosomal_depth_q0.05,28.3752067
mean_autosomal_depth_q0.25,31.3687885
mean_autosomal_depth_q0.50,33.459912
mean_autosomal_depth_q0.75,35.7823955
mean_autosomal_depth_q0.95,42.2444894
mean_autosomal_depth_q0.99,51.72842032
mean_autosomal_depth_q1.00,70.064603
mtDNA_copy_number_q0.00,17.921675
mtDNA_copy_number_q0.01,43.59154392
mtDNA_copy_number_q0.05,80.5429497
mtDNA_copy_number_q0.25,146.7889225
mtDNA_copy_number_q0.50,335.430652
mtDNA_copy_number_q0.75,738.97899
mtDNA_copy_number_q0.95,957.4882894
mtDNA_copy_number_q0.99,1159.276691
mtDNA_copy_number_q1.00,2617.136865
