ID	质控结果	原因
1000434	通过	通过质控
1000592	通过	通过质控
1000612	通过	通过质控
1000753	通过	通过质控
1000810	通过	通过质控
1000907	通过	通过质控
1000917	通过	通过质控
1001070	通过	通过质控
1001091	通过	通过质控
1001099	通过	通过质控
1001194	通过	通过质控
1001738	通过	通过质控
1001746	通过	通过质控
1001969	不通过	mtDNA copy number<50（最低 44.846164）
1002052	通过	通过质控
1002259	通过	通过质控
1002448	通过	通过质控
1002730	通过	通过质控
1002806	通过	通过质控
1003028	通过	通过质控
1006061	通过	通过质控
1006189	通过	通过质控
1006194	通过	通过质控
1006204	通过	通过质控
1006307	通过	通过质控
1006464	通过	通过质控
1006683	通过	通过质控
1006739	通过	通过质控
1006749	通过	通过质控
1006900	通过	通过质控
1006999	通过	通过质控
1007120	通过	通过质控
1007170	通过	通过质控
1007607	通过	通过质控
1007633	通过	通过质控
1007642	通过	通过质控
1007647	通过	通过质控
1009658	通过	通过质控
1009684	通过	通过质控
1009700	通过	通过质控
1009704	通过	通过质控
1009782	通过	通过质控
1009784	通过	通过质控
1009796	通过	通过质控
1009802	通过	通过质控
1009812	通过	通过质控
102YWC	通过	通过质控
107FJW	通过	通过质控
1138837	通过	通过质控
1138912	通过	通过质控
1139281	通过	通过质控
1139354	通过	通过质控
1139461	通过	通过质控
1139606	通过	通过质控
1139929	通过	通过质控
1139962	通过	通过质控
1140048	通过	通过质控
1140464	通过	通过质控
1140557	通过	通过质控
1196221	通过	通过质控
1196256	通过	通过质控
1196905	通过	通过质控
1197024	通过	通过质控
1199393	通过	通过质控
1199524	通过	通过质控
1199767	通过	通过质控
1199840	通过	通过质控
119SZX	通过	通过质控
1200084	通过	通过质控
1200524	通过	通过质控
1200618	通过	通过质控
1200709	通过	通过质控
1200900	通过	通过质控
1201142	通过	通过质控
1201536	通过	通过质控
1201570	通过	通过质控
1201606	通过	通过质控
1201631	通过	通过质控
1206666	通过	通过质控
1206844	通过	通过质控
1206992	通过	通过质控
1207280	通过	通过质控
1207299	通过	通过质控
1207363	通过	通过质控
1207950	通过	通过质控
1208122	通过	通过质控
1208475	通过	通过质控
1208781	通过	通过质控
1208821	通过	通过质控
1209159	通过	通过质控
1209371	通过	通过质控
1209411	通过	通过质控
1209488	通过	通过质控
1209674	通过	通过质控
1209861	通过	通过质控
1210281	通过	通过质控
1210651	通过	通过质控
1211776	通过	通过质控
1211839	通过	通过质控
1211997	通过	通过质控
1212230	通过	通过质控
1212250	通过	通过质控
1GJM	通过	通过质控
2023072001-1A	通过	通过质控
2023072002-1A	通过	通过质控
2023072003-1A	通过	通过质控
