ID	质控状态
10171809196077	PASS
10181809195884	PASS
10861809199391	PASS
10861811591143	PASS
11711809196049	PASS
11881810065229	PASS
12001809291229	PASS
12631811590582	PASS
13021811591239	PASS
13041809199054	PASS
13241811591188	PASS
13491809184276	PASS
13851809199389	PASS
13881809199195	PASS
14481809290742	PASS
14601811591716	PASS
15471811593385	PASS
15661809195916	PASS
15671809292771	PASS
15781809295696	PASS
16061809198711	PASS
16261809198714	PASS
16421809291286	PASS
16601809195885	PASS
1674180816507W	PASS
17011809291291	PASS
1803180816020W	PASS
18071809196110	PASS
18971809195657	PASS
19661809199612	PASS
19751811590329	PASS
20141809196084	PASS
20161809295225	PASS
20261809291348	PASS
21021809195908	PASS
21281809195614	PASS
23151809198834	PASS
2393180816655W	PASS
24231809195543	PASS
24571809291303	PASS
24831811591770	PASS
25141810065244	PASS
25481809292815	PASS
2596180816616W	PASS
26301809196026	PASS
26721809291177	PASS
26961809198943	PASS
27121811590748	PASS
27291809199217	PASS
27621810065314	PASS
27891809195242	PASS
27991809182035	PASS
28171809195881	PASS
28281809198649	PASS
28841809195660	PASS
29091811590745	PASS
29151811590502	PASS
2BD20220300001	PASS
2BD20220300002	PASS
2BD20220300003	PASS
2BD20220300004	PASS
2BD20220300005	PASS
2BD20220300006	PASS
2BD20220300007	PASS
2BD20220300008	PASS
2BD20220300010	PASS
2BD20220300011	PASS
2BD20220300012	PASS
2BD20220300014	PASS
2BD20220300016	PASS
2BD20220300018	PASS
2BD20220300020	PASS
2BD20220300022	PASS
2BD20220300024	PASS
2BD20220300026	PASS
2BD20220300030	PASS
2BD20220300031	PASS
2BD20220300033	PASS
2BD20220300034	PASS
2BD20220300035	PASS
2BD20220300038	PASS
2BD20220300040	PASS
2BD20220300041	PASS
2BD20220300042	PASS
2BD20220300044	PASS
2BD20220300045	PASS
2BD20220300046	PASS
2BD20220300047	PASS
2BD20220300048	PASS
2BD20220300049	PASS
2BD20220300051	PASS
2BD20220300052	PASS
2BD20220300053	PASS
2BD20220300055	PASS
2BD20220300056	PASS
2BD20220300057	PASS
2BD20220300058	PASS
2BD20220300060	PASS
2BD20220300064	PASS
2BD20220300065	PASS
2BD20220300066	PASS
2BD20220300067	PASS
2BD20220300068	PASS
2BD20220300070	PASS
2BD20220300071	PASS
2BD20220300073	PASS
2BD20220300074	PASS
