chr	window	numt_id	min_start	max_end	sample_count	median_length	length_bp	freq	freq_class	is_short
chr1	629	chr1:629	629153	630470	175	218.0	218	0.053418803418803416	common	True
chr1	630	chr1:630	629617	631479	209	371.0	371	0.06379731379731379	common	True
chr1	631	chr1:631	630545	632434	972	436.5	436	0.2967032967032967	common	False
chr1	632	chr1:632	631534	633459	126	420.0	420	0.038461538461538464	common	False
chr1	633	chr1:633	632633	634024	132	294.0	294	0.040293040293040296	common	True
chr1	634	chr1:634	634181	634342	1	162.0	162	0.00030525030525030525	private	True
chr1	4219	chr1:4219	4219682	4219878	1	197.0	197	0.00030525030525030525	private	True
chr1	37611	chr1:37611	37611773	37612073	8	132.5	132	0.002442002442002442	rare	True
chr1	47594	chr1:47594	47594944	47594976	1	33.0	33	0.00030525030525030525	private	True
chr1	59195	chr1:59195	59195893	59196093	7	57.0	57	0.002136752136752137	rare	True
chr1	61649	chr1:61649	61649729	61649999	1	271.0	271	0.00030525030525030525	private	True
chr1	63432	chr1:63432	63432618	63432735	1	118.0	118	0.00030525030525030525	private	True
chr1	86355	chr1:86355	86355260	86355417	1	158.0	158	0.00030525030525030525	private	True
chr1	118142	chr1:118142	118142093	118142430	1	338.0	338	0.00030525030525030525	private	True
chr1	143220	chr1:143220	143220392	143220550	1	159.0	159	0.00030525030525030525	private	True
chr1	143265	chr1:143265	143265815	143265891	1	77.0	77	0.00030525030525030525	private	True
chr1	154219	chr1:154219	154219874	154219966	1	93.0	93	0.00030525030525030525	private	True
chr1	191651	chr1:191651	191651208	191651227	1	20.0	20	0.00030525030525030525	private	True
chr1	201415	chr1:201415	201415763	201415767	1	5.0	5	0.00030525030525030525	private	True
chr1	203322	chr1:203322	203322373	203322423	1	51.0	51	0.00030525030525030525	private	True
chr1	203882	chr1:203882	203882780	203882866	1	87.0	87	0.00030525030525030525	private	True
chr1	229591	chr1:229591	229591244	229591493	1	250.0	250	0.00030525030525030525	private	True
chr1	236974	chr1:236974	236974812	236974839	2	18.5	18	0.0006105006105006105	ultra-rare	True
chr1	237946	chr1:237946	237946101	237946153	1	53.0	53	0.00030525030525030525	private	True
chr10	3470	chr10:3470	3470702	3470983	1	282.0	282	0.00030525030525030525	private	True
chr10	8576	chr10:8576	8576690	8576858	1	169.0	169	0.00030525030525030525	private	True
chr10	29664	chr10:29664	29664638	29664644	1	7.0	7	0.00030525030525030525	private	True
chr10	31828	chr10:31828	31827993	31828100	1	108.0	108	0.00030525030525030525	private	True
chr10	78769	chr10:78769	78769282	78769313	3	10.0	10	0.0009157509157509158	ultra-rare	True
chr10	103767	chr10:103767	103767751	103767791	2	28.0	28	0.0006105006105006105	ultra-rare	True
chr11	4530	chr11:4530	4530835	4530850	1	16.0	16	0.00030525030525030525	private	True
chr11	10509	chr11:10509	10509149	10509919	21	166.0	166	0.00641025641025641	rare	True
chr11	18122	chr11:18122	18122248	18122472	1	225.0	225	0.00030525030525030525	private	True
chr11	45964	chr11:45964	45964426	45964627	1	202.0	202	0.00030525030525030525	private	True
chr11	47945	chr11:47945	47945716	47945745	1	30.0	30	0.00030525030525030525	private	True
chr11	49862	chr11:49862	49862060	49862543	190	202.0	202	0.057997557997558	common	True
chr11	59827	chr11:59827	59827135	59827309	1	175.0	175	0.00030525030525030525	private	True
chr11	100145	chr11:100145	100145020	100145254	7	109.0	109	0.002136752136752137	rare	True
chr11	111215	chr11:111215	111215416	111215577	1	162.0	162	0.00030525030525030525	private	True
chr11	117629	chr11:117629	117629543	117629545	1	3.0	3	0.00030525030525030525	private	True
chr11	124658	chr11:124658	124658239	124658277	1	39.0	39	0.00030525030525030525	private	True
chr12	77789	chr12:77789	77789114	77789190	1	77.0	77	0.00030525030525030525	private	True
chr13	25784	chr13:25784	25784094	25784150	1	57.0	57	0.00030525030525030525	private	True
chr13	32707	chr13:32707	32707682	32708037	12	177.5	178	0.003663003663003663	rare	True
chr13	58586	chr13:58586	58586901	58586918	1	18.0	18	0.00030525030525030525	private	True
chr13	109424	chr13:109424	109424302	109424395	1	94.0	94	0.00030525030525030525	private	True
chr14	36454	chr14:36454	36454136	36454197	1	62.0	62	0.00030525030525030525	private	True
chr14	38655	chr14:38655	38655739	38655794	1	56.0	56	0.00030525030525030525	private	True
chr14	39559	chr14:39559	39559262	39559318	1	57.0	57	0.00030525030525030525	private	True
chr14	70394	chr14:70394	70394294	70394386	1	93.0	93	0.00030525030525030525	private	True
chr14	82020	chr14:82020	82020494	82020573	1	80.0	80	0.00030525030525030525	private	True
chr15	21045	chr15:21045	21045381	21045650	1	270.0	270	0.00030525030525030525	private	True
chr15	49681	chr15:49681	49681140	49681183	1	44.0	44	0.00030525030525030525	private	True
chr15	93343	chr15:93343	93343228	93343424	1	197.0	197	0.00030525030525030525	private	True
chr16	25758	chr16:25758	25758006	25758018	1	13.0	13	0.00030525030525030525	private	True
chr16	34583	chr16:34583	34583162	34583343	1	182.0	182	0.00030525030525030525	private	True
chr16	46388	chr16:46388	46388767	46388990	1	224.0	224	0.00030525030525030525	private	True
chr16	46389	chr16:46389	46389649	46390302	1	654.0	654	0.00030525030525030525	private	False
chr16	46390	chr16:46390	46390457	46390477	1	21.0	21	0.00030525030525030525	private	True
chr16	48591	chr16:48591	48591330	48591449	1	120.0	120	0.00030525030525030525	private	True
chr16	69954	chr16:69954	69954407	69954594	1	188.0	188	0.00030525030525030525	private	True
chr16	87967	chr16:87967	87967110	87967176	1	67.0	67	0.00030525030525030525	private	True
chr17	957	chr17:957	957342	957622	49	142.0	142	0.014957264957264958	common	True
chr17	48638	chr17:48638	48638524	48638668	4	99.0	99	0.001221001221001221	rare	True
chr17	56495	chr17:56495	56495002	56495264	1	263.0	263	0.00030525030525030525	private	True
chr17	76904	chr17:76904	76904946	76904996	1	51.0	51	0.00030525030525030525	private	True
chr18	7801	chr18:7801	7801075	7801121	1	47.0	47	0.00030525030525030525	private	True
chr18	68180	chr18:68180	68180792	68180917	1	126.0	126	0.00030525030525030525	private	True
chr19	30767	chr19:30767	30767754	30767975	1	222.0	222	0.00030525030525030525	private	True
chr2	17506	chr2:17506	17506326	17506342	1	17.0	17	0.00030525030525030525	private	True
chr2	23381	chr2:23381	23381464	23381513	1	50.0	50	0.00030525030525030525	private	True
chr2	32875	chr2:32875	32875184	32875204	1	21.0	21	0.00030525030525030525	private	True
chr2	32916	chr2:32916	32916332	32916478	22	35.5	36	0.006715506715506716	rare	True
chr2	33667	chr2:33667	33667429	33667744	19	180.0	180	0.0057997557997558	rare	True
chr2	90397	chr2:90397	90397735	90397774	1	40.0	40	0.00030525030525030525	private	True
chr2	105997	chr2:105997	105997546	105997643	1	98.0	98	0.00030525030525030525	private	True
chr2	109727	chr2:109727	109727909	109727924	1	16.0	16	0.00030525030525030525	private	True
chr2	126810	chr2:126810	126809975	126810086	1	112.0	112	0.00030525030525030525	private	True
chr2	130292	chr2:130292	130292760	130292929	1	170.0	170	0.00030525030525030525	private	True
chr2	133071	chr2:133071	133071915	133071967	1	53.0	53	0.00030525030525030525	private	True
chr2	180429	chr2:180429	180429941	180429994	1	54.0	54	0.00030525030525030525	private	True
chr2	181417	chr2:181417	181417248	181417268	1	21.0	21	0.00030525030525030525	private	True
chr2	193416	chr2:193416	193416584	193416695	1	112.0	112	0.00030525030525030525	private	True
chr2	197339	chr2:197339	197339213	197339258	1	46.0	46	0.00030525030525030525	private	True
chr2	202673	chr2:202673	202672952	202673069	1	118.0	118	0.00030525030525030525	private	True
chr20	9301	chr20:9301	9301960	9302035	1	76.0	76	0.00030525030525030525	private	True
chr20	9302	chr20:9302	9301957	9302154	5	139.0	139	0.0015262515262515263	rare	True
chr20	20209	chr20:20209	20209296	20209362	1	67.0	67	0.00030525030525030525	private	True
chr20	21474	chr20:21474	21474607	21474819	29	100.0	100	0.008852258852258852	rare	True
chr20	46934	chr20:46934	46934572	46934949	12	136.0	136	0.003663003663003663	rare	True
chr21	9676	chr21:9676	9676281	9676868	21	158.0	158	0.00641025641025641	rare	True
chr21	14124	chr21:14124	14124492	14124509	1	18.0	18	0.00030525030525030525	private	True
chr21	21708	chr21:21708	21708350	21708621	14	54.0	54	0.004273504273504274	rare	True
chr22	24006	chr22:24006	24006052	24006062	1	11.0	11	0.00030525030525030525	private	True
chr22	27051	chr22:27051	27051929	27052062	11	48.0	48	0.003357753357753358	rare	True
chr22	27052	chr22:27052	27051961	27052345	2	335.0	335	0.0006105006105006105	ultra-rare	True
chr22	35205	chr22:35205	35205709	35205832	1	124.0	124	0.00030525030525030525	private	True
chr22	43334	chr22:43334	43334877	43335031	2	134.5	134	0.0006105006105006105	ultra-rare	True
chr22	43335	chr22:43335	43334898	43335258	1	361.0	361	0.00030525030525030525	private	True
chr22	50541	chr22:50541	50541209	50541248	1	40.0	40	0.00030525030525030525	private	True
chr3	17999	chr3:17999	17999778	17999866	1	89.0	89	0.00030525030525030525	private	True
chr3	93470	chr3:93470	93470423	93470648	6	60.0	60	0.0018315018315018315	rare	True
chr3	93892	chr3:93892	93892542	93892563	1	22.0	22	0.00030525030525030525	private	True
chr3	96618	chr3:96618	96617855	96618340	6	387.5	388	0.0018315018315018315	rare	True
chr3	178123	chr3:178123	178123642	178123947	20	88.0	88	0.006105006105006105	rare	True
chr3	181745	chr3:181745	181745955	181746034	4	43.5	44	0.001221001221001221	rare	True
chr3	181746	chr3:181746	181745967	181746095	3	91.0	91	0.0009157509157509158	ultra-rare	True
chr4	5709	chr4:5709	5709583	5709611	1	29.0	29	0.00030525030525030525	private	True
chr4	7252	chr4:7252	7252683	7252970	2	211.0	211	0.0006105006105006105	ultra-rare	True
chr4	20959	chr4:20959	20959785	20959873	1	89.0	89	0.00030525030525030525	private	True
chr4	29439	chr4:29439	29439645	29439923	27	101.0	101	0.008241758241758242	rare	True
chr4	33330	chr4:33330	33330067	33330101	1	35.0	35	0.00030525030525030525	private	True
chr4	82695	chr4:82695	82695051	82695234	28	92.5	92	0.008547008547008548	rare	True
chr4	86139	chr4:86139	86138998	86139284	3	274.0	274	0.0009157509157509158	ultra-rare	True
chr4	113873	chr4:113873	113873388	113873558	1	171.0	171	0.00030525030525030525	private	True
chr4	126419	chr4:126419	126419069	126419178	3	87.0	87	0.0009157509157509158	ultra-rare	True
chr4	146929	chr4:146929	146929415	146929561	1	147.0	147	0.00030525030525030525	private	True
chr4	178496	chr4:178496	178496773	178496914	3	104.0	104	0.0009157509157509158	ultra-rare	True
chr5	32338	chr5:32338	32338475	32338822	2243	143.0	143	0.6846764346764347	common	True
chr5	50788	chr5:50788	50788528	50788559	1	32.0	32	0.00030525030525030525	private	True
chr5	73835	chr5:73835	73835225	73835357	1	133.0	133	0.00030525030525030525	private	True
chr5	76336	chr5:76336	76336956	76337016	1	61.0	61	0.00030525030525030525	private	True
chr5	76815	chr5:76815	76815851	76815970	1	120.0	120	0.00030525030525030525	private	True
chr5	80651	chr5:80651	80651145	80651449	28	110.5	110	0.008547008547008548	rare	True
chr5	110250	chr5:110250	110250681	110250743	1	63.0	63	0.00030525030525030525	private	True
chr5	115307	chr5:115307	115307293	115307296	1	4.0	4	0.00030525030525030525	private	True
chr5	118548	chr5:118548	118547940	118548065	1	126.0	126	0.00030525030525030525	private	True
chr5	134927	chr5:134927	134927573	134927607	1	35.0	35	0.00030525030525030525	private	True
chr5	153556	chr5:153556	153556292	153556314	1	23.0	23	0.00030525030525030525	private	True
chr6	17748	chr6:17748	17748462	17748528	2	45.0	45	0.0006105006105006105	ultra-rare	True
chr6	19474	chr6:19474	19474476	19474496	1	21.0	21	0.00030525030525030525	private	True
chr6	56325	chr6:56325	56325872	56325959	1	88.0	88	0.00030525030525030525	private	True
chr6	71776	chr6:71776	71776560	71776630	1	71.0	71	0.00030525030525030525	private	True
chr6	105039	chr6:105039	105039612	105039770	3	33.0	33	0.0009157509157509158	ultra-rare	True
chr6	120311	chr6:120311	120311592	120311788	1	197.0	197	0.00030525030525030525	private	True
chr6	121174	chr6:121174	121174834	121174897	1	64.0	64	0.00030525030525030525	private	True
chr6	121670	chr6:121670	121670105	121670394	1	290.0	290	0.00030525030525030525	private	True
chr7	68238	chr7:68238	68238823	68238905	3	63.0	63	0.0009157509157509158	ultra-rare	True
chr7	74608	chr7:74608	74608704	74608847	1	144.0	144	0.00030525030525030525	private	True
chr7	78921	chr7:78921	78921705	78922122	1	418.0	418	0.00030525030525030525	private	False
chr7	109995	chr7:109995	109995037	109995065	1	29.0	29	0.00030525030525030525	private	True
chr7	115030	chr7:115030	115030663	115030766	1	104.0	104	0.00030525030525030525	private	True
chr7	127887	chr7:127887	127887616	127887638	2	11.5	12	0.0006105006105006105	ultra-rare	True
chr7	129898	chr7:129898	129898560	129898679	1	120.0	120	0.00030525030525030525	private	True
chr7	135767	chr7:135767	135767226	135767392	1	167.0	167	0.00030525030525030525	private	True
chr8	9394	chr8:9394	9394049	9394136	1	88.0	88	0.00030525030525030525	private	True
chr8	30775	chr8:30775	30775924	30775940	1	17.0	17	0.00030525030525030525	private	True
chr8	62102	chr8:62102	62102911	62103007	1	97.0	97	0.00030525030525030525	private	True
chr8	62103	chr8:62103	62102904	62103197	1	294.0	294	0.00030525030525030525	private	True
chr8	99144	chr8:99144	99144114	99144301	2	153.5	154	0.0006105006105006105	ultra-rare	True
chr8	113103	chr8:113103	113103588	113103741	1	154.0	154	0.00030525030525030525	private	True
chr8	125218	chr8:125218	125218405	125218414	1	10.0	10	0.00030525030525030525	private	True
chr9	129	chr9:129	129763	130005	15	59.0	59	0.004578754578754579	rare	True
chr9	85865	chr9:85865	85865777	85865870	1	94.0	94	0.00030525030525030525	private	True
chr9	110244	chr9:110244	110244297	110244506	1	210.0	210	0.00030525030525030525	private	True
chr9	130729	chr9:130729	130729747	130729800	1	54.0	54	0.00030525030525030525	private	True
chrX	25291	chrX:25291	25291881	25291895	1	15.0	15	0.00030525030525030525	private	True
chrX	46200	chrX:46200	46200801	46201156	1	356.0	356	0.00030525030525030525	private	True
chrX	114754	chrX:114754	114754124	114754138	1	15.0	15	0.00030525030525030525	private	True
