GroupID	Index	POS	CHR	mergedClusterID
0	0	633979	chr1	0_chr1
0	1	633985	chr1	0_chr1
0	2	634019	chr1	0_chr1
0	3	634023	chr1	0_chr1
0	0	49861813	chr11	0_chr11
0	1	49862191	chr11	0_chr11
0	2	49862203	chr11	0_chr11
0	3	49862229	chr11	0_chr11
0	4	49862258	chr11	0_chr11
0	0	22521443	chr17	0_chr17
0	1	22521447	chr17	0_chr17
0	0	33667099	chr2	0_chr2
0	1	33667833	chr2	0_chr2
0	0	21474533	chr20	0_chr20
0	0	9676194	chr21	0_chr21
0	1	9676566	chr21	0_chr21
0	0	32338151	chr5	0_chr5
0	1	32338441	chr5	0_chr5
0	2	32338535	chr5	0_chr5
0	0	129850	chr9	0_chr9
