Chr	Mt Start	Mt End	Mt fragment length	Nuc Start	Nuc End	Chr fragment length	Difference	Source
1	3914	9755	5842	629084	634924	5841	1	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Daniela_Lascaro_BMC_Genomics_2008;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/;Wei_Nature_2022_生殖系
1	5712	5820	109	630882	630991	110	1	Nyuwa基因组资源NUMTs
1	7394	7565	172	632565	632736	172	0	Nyuwa基因组资源NUMTs
1	8595	8822	228	633764	633991	228	0	Nyuwa基因组资源NUMTs
1	511	968	458	983364	983364	1	457	Wei_Nature_2022_肿瘤
1	433	501	69	1656201	1656212	12	57	Nyuwa基因组资源NUMTs
1	5923	6080	158	2402701	2402702	2	156	Wei_Nature_2022_生殖系
1				2415420	2415514	95		Tao_Genes_2023
1	842	958	117	2915548	2915548	1	116	Wei_Nature_2022_肿瘤
1	12537	12627	91	4219621	4219640	20	71	Nyuwa基因组资源NUMTs;Wei_Nature_2022_生殖系
1	9452	9582	131	5554746	5554877	132	1	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	2466	2675	210	5850258	5850468	211	1	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Daniela_Lascaro_BMC_Genomics_2008;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	78	498	421	6423606	6423613	8	413	Wei_Nature_2022_生殖系
1	11596	11674	79	8027256	8027257	2	77	Wei_Nature_2022_生殖系
1	6141	12282	6142	8070356	8070356	1	6141	Nyuwa基因组资源NUMTs
1	8040	8205	166	8909743	8909908	166	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	12256	12330	75	9339500	9339502	3	72	Wei_Nature_2022_生殖系
1	907	1117	211	9574629	9574829	201	10	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	12292	12357	66	11142847	11142918	72	6	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	15078	15578	501	11425262	11425772	511	10	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	4789	5301	513	13277887	13277887	1	512	Wei_Nature_2022_肿瘤
1	5372	5450	79	14619065	14619073	9	70	Nyuwa基因组资源NUMTs
1	11847	12012	166	14634007	14634008	2	164	Wei_Nature_2022_生殖系
1	341	499	159	16282037	16282038	2	157	Nyuwa基因组资源NUMTs
1	2264	4528	2265	16777289	16777289	1	2264	Nyuwa基因组资源NUMTs
1	7715	7870	156	17099386	17099403	18	138	Wei_Nature_2022_生殖系
1	13997	14075	79	17697474	17697476	3	76	Nyuwa基因组资源NUMTs
1				17961213	17961289	77		Tao_Genes_2023
1	6991	7105	115	18468104	18468110	7	108	Nyuwa基因组资源NUMTs
1				18504347	18504497	151		Tao_Genes_2023
1	3900	4113	214	18595412	18595626	215	1	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	7479	7593	115	21234999	21235005	7	108	Wei_Nature_2022_生殖系
1	13144	13212	69	21576728	21576728	1	68	Wei_Nature_2022_生殖系
1	3606	3999	394	22451037	22451041	5	389	Wei_Nature_2022_生殖系
1	3550	3690	141	22805119	22805120	2	139	Nyuwa基因组资源NUMTs
1	9376	9493	118	23876661	23876662	2	116	Wei_Nature_2022_生殖系
1				23921743	23921775	33		Tao_Genes_2023
1	9233	9334	102	23960173	23960176	4	98	Wei_Nature_2022_生殖系
1	838	14914	14077	25355037	25355037	1	14076	Wei_Nature_2022_生殖系
1	13635	13928	294	26147858	26147858	1	293	Wei_Nature_2022_肿瘤
1	16176	16569	394	27534098	27534098	1	393	Wei_Nature_2022_肿瘤
1	5519	5692	174	28608615	28608615	1	173	Wei_Nature_2022_生殖系
1	861	2561	1701	30253174	30253177	4	1697	Wei_Nature_2022_生殖系
1	7815	7902	88	30312713	30312716	4	84	Nyuwa基因组资源NUMTs
1	1501	1561	61	34043804	34043804	1	60	Nyuwa基因组资源NUMTs
1	8650	9349	700	34519995	34520000	6	694	Wei_Nature_2022_生殖系
1				35255195	35255324	130		Tao_Genes_2023
1	5737	6028	292	35376298	35376299	2	290	Wei_Nature_2022_生殖系
1	8937	9013	77	37361536	37361736	201	124	Wei_Nature_2022_生殖系
1	8933	9007	75	37611748	37611748	1	74	Nyuwa基因组资源NUMTs;Wei_Nature_2022_生殖系
1	12091	12160	70	37878047	37878062	16	54	Nyuwa基因组资源NUMTs
1	1947	2181	235	37964896	37964898	3	232	Nyuwa基因组资源NUMTs
1	12189	12432	244	38278309	38278315	7	237	Wei_Nature_2022_生殖系
1	8724	14642	5919	39713733	39713738	6	5913	Wei_Nature_2022_生殖系
1	3560	3699	140	40849814	40849814	1	139	Wei_Nature_2022_肿瘤
1	7	136	130	41622129	41622129	1	129	Wei_Nature_2022_肿瘤
1	13464	13536	73	43698838	43698858	21	52	Wei_Nature_2022_生殖系
1	3071	6142	3072	45512023	45512023	1	3071	Nyuwa基因组资源NUMTs
1	5171	5968	798	45833509	45833515	7	791	Wei_Nature_2022_生殖系
1	5728	6205	478	47152793	47152793	1	477	Wei_Nature_2022_肿瘤
1	10138	10203	66	47464249	47464449	201	135	Wei_Nature_2022_生殖系
1	16455	32910	16456	47577821	47577821	1	16455	Nyuwa基因组资源NUMTs
1	3568	3739	172	48194706	48194707	2	170	Nyuwa基因组资源NUMTs
1	9781	11776	1996	48441868	48441882	15	1981	Nyuwa基因组资源NUMTs
1	5274	8587	3314	49359017	49359038	22	3292	Wei_Nature_2022_生殖系
1	9728	9924	197	49392402	49392407	6	191	Wei_Nature_2022_生殖系
