"Chr","Start","End","Value"
1,1,2000000,0.0646357
1,1000001,3000000,0.0626714
1,2000001,4000000,0.0582397
1,3000001,5000000,0.067957
1,4000001,6000000,0.0965196
1,5000001,7000000,0.0934111
1,6000001,8000000,0.067502
1,7000001,9000000,0.0480084
1,8000001,10000000,0.0572529
1,9000001,11000000,0.0755762
1,10000001,12000000,0.0712556
1,11000001,13000000,0.06439
1,12000001,14000000,0.100546
1,13000001,15000000,0.126877
1,14000001,16000000,0.0805237
1,15000001,17000000,0.0659443
1,16000001,18000000,0.0635818
1,17000001,19000000,0.053812
1,18000001,20000000,0.0670238
1,19000001,21000000,0.0747297
1,20000001,22000000,0.0679582
1,21000001,23000000,0.059485
1,22000001,24000000,0.0570106
1,23000001,25000000,0.0746872
1,24000001,26000000,0.0911836
1,25000001,27000000,0.0651914
1,26000001,28000000,0.0637864
1,27000001,29000000,0.0704383
1,28000001,30000000,0.0605008
1,29000001,31000000,0.0653539
1,30000001,32000000,0.0857718
1,31000001,33000000,0.0739522
1,32000001,34000000,0.0666007
1,33000001,35000000,0.0918328
1,34000001,36000000,0.0812219
1,35000001,37000000,0.0644891
1,36000001,38000000,0.0722205
1,37000001,39000000,0.0610393
1,38000001,40000000,0.0529576
1,39000001,41000000,0.0524186
1,40000001,42000000,0.0566748
1,41000001,43000000,0.106776
1,42000001,44000000,0.128794
1,43000001,45000000,0.084314
1,44000001,46000000,0.0614554
1,45000001,47000000,0.0828188
1,46000001,48000000,0.100912
1,47000001,49000000,0.0951165
1,48000001,50000000,0.0739506
1,49000001,51000000,0.0645645
1,50000001,52000000,0.066628
1,51000001,53000000,0.0539962
1,52000001,54000000,0.0587845
1,53000001,55000000,0.0753667
1,54000001,56000000,0.0722761
1,55000001,57000000,0.0567454
1,56000001,58000000,0.0630294
1,57000001,59000000,0.0747018
1,58000001,60000000,0.0834402
1,59000001,61000000,0.0853883
1,60000001,62000000,0.0703861
1,61000001,63000000,0.0764366
1,62000001,64000000,0.118133
1,63000001,65000000,0.0850611
1,64000001,66000000,0.0539322
1,65000001,67000000,0.0559888
1,66000001,68000000,0.0681372
1,67000001,69000000,0.0685997
1,68000001,70000000,0.058873
1,69000001,71000000,0.0704929
1,70000001,72000000,0.0700297
1,71000001,73000000,0.0819138
1,72000001,74000000,0.0933023
1,73000001,75000000,0.0761
1,74000001,76000000,0.059062
1,75000001,77000000,0.0550548
1,76000001,78000000,0.0604249
1,77000001,79000000,0.0568936
1,78000001,80000000,0.0580736
1,79000001,81000000,0.0639583
1,80000001,82000000,0.0769417
1,81000001,83000000,0.0732559
1,82000001,84000000,0.059709
1,83000001,85000000,0.0527919
1,84000001,86000000,0.0587508
1,85000001,87000000,0.0513033
1,86000001,88000000,0.0665703
1,87000001,89000000,0.0833922
1,88000001,90000000,0.0475976
1,89000001,91000000,0.0412442
1,90000001,92000000,0.0649191
1,91000001,93000000,0.0667296
1,92000001,94000000,0.0486265
1,93000001,95000000,0.0437691
1,94000001,96000000,0.049186
1,95000001,97000000,0.0646306
1,96000001,98000000,0.0725841
1,97000001,99000000,0.0657562
