numtID	sampleID	contigID	total	humanN	chimpN	pct_human	age
HG001_chr1.633396.634413|HWI-D00360:5:H814YADXX:2:1208:19606:98914	HG001_all_regions	HG001_chr1.633396.634413|HWI-D00360:5:H814YADXX:2:1208:19606:98914	12	9	3	0.75	1.5
HG001_chr1.633396.634413|HISEQ1:15:H9258ADXX:1:1212:16021:52150	HG001_all_regions	HG001_chr1.633396.634413|HISEQ1:15:H9258ADXX:1:1212:16021:52150	14	12	2	0.8571428571428571	0.8571428571428571
HG001_chr1.633396.634413|HISEQ1:9:H8962ADXX:1:2210:4803:58938	HG001_all_regions	HG001_chr1.633396.634413|HISEQ1:9:H8962ADXX:1:2210:4803:58938	14	13	1	0.9285714285714286	0.42857142857142855
HG001_chr1.633396.634413|HISEQ1:11:H8GV6ADXX:1:1211:20254:24767	HG001_all_regions	HG001_chr1.633396.634413|HISEQ1:11:H8GV6ADXX:1:1211:20254:24767	13	13	0	1.0	0.0
HG001_chr1.633396.634413|HISEQ1:13:H8G92ADXX:2:1110:19119:86978	HG001_all_regions	HG001_chr1.633396.634413|HISEQ1:13:H8G92ADXX:2:1110:19119:86978	9	9	0	1.0	0.0
HG001_chr1.633396.634413|HWI-D00360:8:H88U0ADXX:2:1107:11523:68955	HG001_all_regions	HG001_chr1.633396.634413|HWI-D00360:8:H88U0ADXX:2:1107:11523:68955	11	8	2	0.8	1.2000000000000002
HG001_chr1.633396.634413|HWI-D00360:5:H814YADXX:2:1208:19606:98914	HG001_all_regions	HG001_chr1.633396.634413|HWI-D00360:5:H814YADXX:2:1208:19606:98914	0	0	0	0.0	0.0
HG001_chr1.633396.634413|HISEQ1:9:H8962ADXX:1:1211:11808:66543	HG001_all_regions	HG001_chr1.633396.634413|HISEQ1:9:H8962ADXX:1:1211:11808:66543	0	0	0	0.0	0.0
HG001_chr1.633396.634413|HISEQ1:14:H8GGVADXX:2:1208:15065:61481	HG001_all_regions	HG001_chr1.633396.634413|HISEQ1:14:H8GGVADXX:2:1208:15065:61481	14	14	0	1.0	0.0
HG001_chr1.633396.634413|HWI-D00360:6:H81VLADXX:1:2106:14384:90066	HG001_all_regions	HG001_chr1.633396.634413|HWI-D00360:6:H81VLADXX:1:2106:14384:90066	0	0	0	0.0	0.0
HG001_chr1.633396.634413|HWI-D00360:5:H814YADXX:1:2207:17251:23562	HG001_all_regions	HG001_chr1.633396.634413|HWI-D00360:5:H814YADXX:1:2207:17251:23562	0	0	0	0.0	0.0
HG001_chr1.633396.634413|HISEQ1:14:H8GGVADXX:1:1114:21198:90198	HG001_all_regions	HG001_chr1.633396.634413|HISEQ1:14:H8GGVADXX:1:1114:21198:90198	0	0	0	0.0	0.0
HG001_chr1.633396.634413|HISEQ1:9:H8962ADXX:2:2204:17644:92392	HG001_all_regions	HG001_chr1.633396.634413|HISEQ1:9:H8962ADXX:2:2204:17644:92392	0	0	0	0.0	0.0
