sampleID	chr	strand	pointGroup	Group	readsCount	pos	type
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142017.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	11	118142050.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	2	118142097.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	2	118142101.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	2	118142105.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142115.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142126.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142133.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142136.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142139.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142147.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142154.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142156.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142166.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142168.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142171.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142194.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	2	118142199.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142300.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142353.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	118142386.0	all
1000434	chrM	+	mt_Tend	mt_Tend	1	2613.0	all
1000434	chrM	+	mt_Tend	mt_Tend	1	2618.0	all
1000434	chrM	+	mt_Tend	mt_Tend	1	2647.0	all
1000434	chrM	+	mt_Tend	mt_Tend	18	2652.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	631452.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	631994.0	all
1000434	chr1	+	nu_Tend_Bleft	nuleft	1	632123.0	all
1000434	chr1	+	nu_Tstart_Bright	nuright	1	631715.0	all
1000434	chr1	+	nu_Tstart_Bright	nuright	1	631725.0	all
1000434	chr1	+	nu_Tstart_Bright	nuright	1	631729.0	all
1000434	chr1	+	nu_Tstart_Bright	nuright	1	631730.0	all
1000434	chr1	+	nu_Tstart_Bright	nuright	1	631731.0	all
1000434	chr1	+	nu_Tstart_Bright	nuright	1	632133.0	all
1000434	chr1	+	nu_Tstart_Bright	nuright	1	632441.0	all
1000434	chrM	+	mt_Tend	mt_Tend	1	6912.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6572.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6582.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6591.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	2	6596.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6601.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6602.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6605.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6621.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6624.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6647.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6649.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6655.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6667.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6671.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6674.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	1	6684.0	all
1000434	chrM	+	mt_Tstart	mt_Tstart	2	6952.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49861556.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49861875.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49861895.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49861899.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49862015.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	17	49862017.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49862049.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49862056.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49862082.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49862090.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49862116.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49862137.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49862147.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49862150.0	all
1000434	chr11	+	nu_Tend_Bleft	nuleft	1	49862157.0	all
1000434	chr11	+	nu_Tstart_Bright	nuright	1	49861714.0	all
1000434	chr11	+	nu_Tstart_Bright	nuright	1	49861768.0	all
1000434	chr11	+	nu_Tstart_Bright	nuright	1	49861791.0	all
1000434	chr11	+	nu_Tstart_Bright	nuright	1	49861872.0	all
1000434	chr11	+	nu_Tstart_Bright	nuright	1	49862019.0	all
1000434	chr11	+	nu_Tstart_Bright	nuright	2	49862080.0	all
1000434	chr11	+	nu_Tstart_Bright	nuright	1	49862321.0	all
1000434	chrM	-	mt_Tstart	mt_Tstart	5	16088.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	1	22520931.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	8	22521434.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	9	22521435.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	1	22521437.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	2	22521439.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	1	22521440.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	1	22521441.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	10	22521444.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	8	22521445.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	2	22521446.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	1	22521447.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	1	22521448.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	5	22521449.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	10	22521450.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	8	22521451.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	10	22521452.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	8	22521453.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	5	22521454.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	10	22521455.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	15	22521456.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	10	22521457.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	5	22521458.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	14	22521459.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	66	22521460.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	10	22521461.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	1	22521730.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	1	22521900.0	all
1000434	chr17	+	nu_Tend_Bleft	nuleft	1	22521946.0	all
1000434	chr17	+	nu_Tstart_Bright	nuright	1	22521500.0	all
1000434	chr17	+	nu_Tstart_Bright	nuright	2	22521525.0	all
1000434	chr17	+	nu_Tstart_Bright	nuright	1	22521840.0	all
1000434	chrM	+	mt_Tend	mt_Tend	1	16561.0	all
1000434	chrM	+	mt_Tend	mt_Tend	1	16565.0	all
1000434	chrM	+	mt_Tend	mt_Tend	334	16569.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	9	21708298.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	21708338.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	21708358.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	21708362.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	21708370.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	2	21708378.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	21708417.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	21708420.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	21708437.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	21708438.0	all
1000434	chr21	+	nu_Tstart_Bright	nuright	2	21708297.0	all
1000434	chr21	+	nu_Tstart_Bright	nuright	1	21708423.0	all
1000434	chrM	-	mt_Tstart	mt_Tstart	2	5712.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	9676094.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	9676108.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	9676118.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	9676306.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	9676482.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	2	9676550.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	9676566.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	9676572.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	9676585.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	9676598.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	9676617.0	all
1000434	chr21	+	nu_Tend_Bleft	nuleft	1	9676631.0	all
