chr	start	end	refStart_noChr	refEnd_noChr
chr1	63419	65919	63419	65919
chr1	451178	453678	451178	453678
chr1	686154	688654	686154	688654
chr1	921923	924423	921923	924423
chr1	958584	961309	958584	961309
chr1	964482	966982	964482	966982
chr1	981617	984117	981617	984117
chr1	999138	1002172	999138	1002172
chr1	1018120	1020620	1018120	1020620
chr1	1073806	1076306	1073806	1076306
chr1	1115861	1118361	1115861	1118361
chr1	1171880	1174380	1171880	1174380
chr1	1206092	1208592	1206092	1208592
chr1	1213653	1216153	1213653	1216153
chr1	1230237	1234031	1230237	1234031
chr1	1246222	1248722	1246222	1248722
chr1	1273364	1275864	1273364	1275864
chr1	1278436	1280936	1278436	1280936
chr1	1306597	1309097	1306597	1309097
chr1	1309109	1311609	1309109	1311609
chr1	1322756	1326687	1322756	1326687
chr1	1329280	1331780	1329280	1331780
chr1	1348918	1351418	1348918	1351418
chr1	1361277	1363777	1361277	1363777
chr1	1374707	1377207	1374707	1377207
chr1	1398835	1401335	1398835	1401335
chr1	1406793	1409293	1406793	1409293
chr1	1421269	1423769	1421269	1423769
chr1	1423871	1426371	1423871	1426371
chr1	1432861	1435361	1432861	1435361
chr1	1447689	1450189	1447689	1450189
chr1	1469765	1472265	1469765	1472265
chr1	1510162	1512662	1510162	1512662
chr1	1540124	1542624	1540124	1542624
chr1	1574363	1576863	1574363	1576863
chr1	1599635	1602135	1599635	1602135
chr1	1613454	1615954	1613454	1615954
chr1	1630163	1632663	1630163	1632663
chr1	1658512	1661012	1658512	1661012
chr1	1692295	1694795	1692295	1694795
chr1	1723857	1726357	1723857	1726357
chr1	1779957	1782457	1779957	1782457
chr1	1891792	1894292	1891792	1894292
chr1	1913108	1915608	1913108	1915608
chr1	1918779	1921279	1918779	1921279
chr1	2003337	2005837	2003337	2005837
chr1	2017329	2019829	2017329	2019829
chr1	2048411	2050911	2048411	2050911
chr1	2212220	2214720	2212220	2214720
chr1	2225388	2227888	2225388	2227888
chr1	2389775	2393707	2389775	2393707
chr1	2413297	2415797	2413297	2415797
chr1	2423980	2426480	2423980	2426480
chr1	2526097	2528597	2526097	2528597
chr1	2529763	2532263	2529763	2532263
chr1	2553639	2556139	2553639	2556139
chr1	2584491	2586991	2584491	2586991
chr1	2632516	2635016	2632516	2635016
chr1	2801193	2803693	2801193	2803693
chr1	3019467	3021967	3019467	3021967
chr1	3067168	3069668	3067168	3069668
chr1	3452665	3455165	3452665	3455165
chr1	3611008	3613508	3611008	3613508
chr1	3623015	3625515	3623015	3625515
chr1	3650516	3654761	3650516	3654761
chr1	3744460	3746960	3744460	3746960
chr1	3770749	3773249	3770749	3773249
chr1	3795998	3798498	3795998	3798498
chr1	3855267	3859396	3855267	3859396
chr1	3899793	3902293	3899793	3902293
chr1	4652609	4655109	4652609	4655109
chr1	5988927	5991427	5988927	5991427
chr1	5991973	5994473	5991973	5994473
chr1	6179821	6182321	6179821	6182321
