mergedClusterID	CHR	chr_order	min	max	mid_pos	x	POS
0_chr1	chr1	1	10000	10178	10089.0	10089.0	2
0_chr10	chr10	10	10002	10179	10090.5	1674037463.5	5
0_chr11	chr11	11	190806	190806	190806.0	1808005510.0	1
0_chr12	chr12	12	43297	43300	43298.5	1942864457.5	6
0_chr13	chr13	13	16011414	16011414	16011414.0	2092097726.0	1
0_chr14	chr14	14	16103459	16103924	16103691.5	2206544182.5	6
0_chr15	chr15	15	17080530	17080530	17080530.0	2314298087.0	1
0_chr16	chr16	16	52766	52775	52770.5	2399244425.5	11
0_chr17	chr17	17	117293	117611	117452.0	2489499029.0	3
0_chr18	chr18	18	10182	10182	10182.0	2572467237.0	1
0_chr19	chr19	19	512887	512887	512887.0	2653233028.0	1
0_chr2	chr2	2	37685	37685	37685.0	248984010.0	1
0_chr20	chr20	20	61669	61669	61669.0	2711386708.0	1
0_chr21	chr21	21	5057879	5057880	5057879.5	2780523500.5	2
0_chr22	chr22	22	10523391	10523391	10523391.0	2832445413.0	1
0_chr3	chr3	3	110732	110732	110732.0	491080247.0	1
0_chr4	chr4	4	15600	15600	15600.0	689201510.0	1
0_chr5	chr5	5	10110	11620	10865.0	879378299.0	38
0_chr6	chr6	6	302984	302984	302984.0	1061138194.0	1
0_chr7	chr7	7	34832	34832	34832.0	1231565433.0	1
0_chr8	chr8	8	247319	247319	247319.0	1391021621.0	1
0_chr9	chr9	9	10224	11167	10695.5	1535806751.5	7
0_chrX	chrX	23	34143	34143	34143.0	2872764118.0	1
0_chrY	chrY	24	2879390	2879390	2879390.0	3031639998.0	1
1000_chr1	chr1	1	88890370	88890370	88890370.0	88890370.0	1
1000_chr10	chr10	10	75413851	75413851	75413851.0	1749441224.0	1
1000_chr11	chr11	11	91027885	91027885	91027885.0	1898842589.0	1
1000_chr12	chr12	12	84795908	84795908	84795908.0	2027617067.0	1
1000_chr13	chr13	13	55592799	55592799	55592799.0	2131679111.0	1
1000_chr14	chr14	14	101896854	101896854	101896854.0	2292337345.0	1
1000_chr2	chr2	2	82459318	82459318	82459318.0	331405643.0	1
1000_chr3	chr3	3	81768947	81768966	81768956.5	572738471.5	25
1000_chr4	chr4	4	73773870	73774667	73774268.5	762960178.5	2
1000_chr5	chr5	5	85914031	85914031	85914031.0	965281465.0	1
1000_chr6	chr6	6	82743216	82743216	82743216.0	1143578426.0	1
1000_chr7	chr7	7	84099850	84099850	84099850.0	1315630451.0	1
1000_chr8	chr8	8	82504117	82504117	82504117.0	1473278419.0	1
1000_chr9	chr9	9	86056485	86056485	86056485.0	1621852541.0	1
1001_chr1	chr1	1	88897481	88897481	88897481.0	88897481.0	1
1001_chr10	chr10	10	75429256	75429256	75429256.0	1749456629.0	1
1001_chr11	chr11	11	91115648	91115648	91115648.0	1898930352.0	1
1001_chr12	chr12	12	84877485	84877485	84877485.0	2027698644.0	1
1001_chr13	chr13	13	55636879	55636879	55636879.0	2131723191.0	1
1001_chr14	chr14	14	102463417	102463417	102463417.0	2292903908.0	1
1001_chr2	chr2	2	82560662	82560662	82560662.0	331506987.0	1
1001_chr3	chr3	3	81781999	81781999	81781999.0	572751514.0	1
1001_chr4	chr4	4	73861679	73861684	73861681.5	763047591.5	4
1001_chr5	chr5	5	85925889	85925889	85925889.0	965293323.0	1
1001_chr6	chr6	6	82839354	82839354	82839354.0	1143674564.0	1
1001_chr7	chr7	7	84128393	84128393	84128393.0	1315658994.0	1
1001_chr8	chr8	8	82558540	82558540	82558540.0	1473332842.0	1
1001_chr9	chr9	9	86091469	86091469	86091469.0	1621887525.0	1
1002_chr1	chr1	1	88906803	88906803	88906803.0	88906803.0	1
1002_chr10	chr10	10	75513035	75513035	75513035.0	1749540408.0	1
1002_chr11	chr11	11	91176330	91176330	91176330.0	1898991034.0	1
1002_chr12	chr12	12	84929581	84929581	84929581.0	2027750740.0	1
1002_chr13	chr13	13	55887329	55887329	55887329.0	2131973641.0	1
1002_chr14	chr14	14	102609027	102609030	102609028.5	2293049519.5	3
1002_chr2	chr2	2	82651188	82651188	82651188.0	331597513.0	1
1002_chr3	chr3	3	81824613	81824613	81824613.0	572794128.0	1
1002_chr4	chr4	4	73883846	73883846	73883846.0	763069756.0	1
1002_chr5	chr5	5	85933752	85933752	85933752.0	965301186.0	1
1002_chr6	chr6	6	82851804	82851804	82851804.0	1143687014.0	1
1002_chr7	chr7	7	84163289	84163289	84163289.0	1315693890.0	1
1002_chr8	chr8	8	82658062	82658151	82658106.5	1473432408.5	13
1002_chr9	chr9	9	86227886	86227886	86227886.0	1622023942.0	1
1003_chr1	chr1	1	88962543	88962543	88962543.0	88962543.0	1
1003_chr10	chr10	10	75523080	75523080	75523080.0	1749550453.0	1
1003_chr11	chr11	11	91243847	91243847	91243847.0	1899058551.0	1
1003_chr12	chr12	12	84996314	84996314	84996314.0	2027817473.0	1
1003_chr13	chr13	13	56061352	56061352	56061352.0	2132147664.0	1
1003_chr14	chr14	14	102624153	102624153	102624153.0	2293064644.0	1
1003_chr2	chr2	2	82805064	82805064	82805064.0	331751389.0	1
1003_chr3	chr3	3	82005801	82005801	82005801.0	572975316.0	1
1003_chr4	chr4	4	73914145	73914145	73914145.0	763100055.0	1
1003_chr5	chr5	5	86146270	86146270	86146270.0	965513704.0	1
1003_chr6	chr6	6	82913452	82913452	82913452.0	1143748662.0	1
1003_chr7	chr7	7	84165751	84165751	84165751.0	1315696352.0	1
1003_chr8	chr8	8	82696461	82696461	82696461.0	1473470763.0	1
1003_chr9	chr9	9	86285411	86285411	86285411.0	1622081467.0	1
1004_chr1	chr1	1	88998233	88998233	88998233.0	88998233.0	1
1004_chr10	chr10	10	75901856	75901856	75901856.0	1749929229.0	1
1004_chr11	chr11	11	91330616	91330616	91330616.0	1899145320.0	1
1004_chr12	chr12	12	85015558	85015558	85015558.0	2027836717.0	1
1004_chr13	chr13	13	56091107	56091107	56091107.0	2132177419.0	1
1004_chr14	chr14	14	102811551	102811557	102811554.0	2293252045.0	2
1004_chr2	chr2	2	82815928	82816145	82816036.5	331762361.5	2
1004_chr3	chr3	3	82022930	82022930	82022930.0	572992445.0	1
1004_chr4	chr4	4	74057891	74057891	74057891.0	763243801.0	1
1004_chr5	chr5	5	86252675	86252675	86252675.0	965620109.0	1
1004_chr6	chr6	6	83078099	83078750	83078424.5	1143913634.5	2
1004_chr7	chr7	7	84195698	84195698	84195698.0	1315726299.0	1
1004_chr8	chr8	8	82914930	82914935	82914932.5	1473689234.5	7
1004_chr9	chr9	9	86337336	86337336	86337336.0	1622133392.0	1
1005_chr1	chr1	1	89161037	89161037	89161037.0	89161037.0	1
1005_chr10	chr10	10	75957493	75957493	75957493.0	1749984866.0	1
1005_chr11	chr11	11	91352087	91352087	91352087.0	1899166791.0	1
1005_chr12	chr12	12	85096760	85096760	85096760.0	2027917919.0	1
1005_chr13	chr13	13	56225181	56225181	56225181.0	2132311493.0	1
1005_chr14	chr14	14	102837074	102837074	102837074.0	2293277565.0	1
1005_chr2	chr2	2	82818932	82818932	82818932.0	331765257.0	1
1005_chr3	chr3	3	82179165	82179165	82179165.0	573148680.0	1
