"Chr","Start","End","Value","Color"
1,1,2000000,0.00273566,"fc8d62"
1,1000001,3000000,0.0023958,"fc8d62"
1,2000001,4000000,0.00319407,"fc8d62"
1,3000001,5000000,0.002869,"fc8d62"
1,4000001,6000000,0.00186596,"fc8d62"
1,5000001,7000000,0.00186182,"fc8d62"
1,6000001,8000000,0.0018227,"fc8d62"
1,7000001,9000000,0.00274873,"fc8d62"
1,8000001,10000000,0.00336569,"fc8d62"
1,9000001,11000000,0.00248005,"fc8d62"
1,10000001,12000000,0.00207822,"fc8d62"
1,11000001,13000000,0.002136,"fc8d62"
1,12000001,14000000,0.00191688,"fc8d62"
1,13000001,15000000,0.00142997,"fc8d62"
1,14000001,16000000,0.00184524,"fc8d62"
1,15000001,17000000,0.00222845,"fc8d62"
1,16000001,18000000,0.0023533,"fc8d62"
1,17000001,19000000,0.00290714,"fc8d62"
1,18000001,20000000,0.00266726,"fc8d62"
1,19000001,21000000,0.00247076,"fc8d62"
1,20000001,22000000,0.00226616,"fc8d62"
1,21000001,23000000,0.00191545,"fc8d62"
1,22000001,24000000,0.00230414,"fc8d62"
1,23000001,25000000,0.0022829,"fc8d62"
1,24000001,26000000,0.00203738,"fc8d62"
1,25000001,27000000,0.00256749,"fc8d62"
1,26000001,28000000,0.00294961,"fc8d62"
1,27000001,29000000,0.00305097,"fc8d62"
1,28000001,30000000,0.00350921,"fc8d62"
1,29000001,31000000,0.00312628,"fc8d62"
1,30000001,32000000,0.0020384,"fc8d62"
1,31000001,33000000,0.00221192,"fc8d62"
1,32000001,34000000,0.0026685,"fc8d62"
1,33000001,35000000,0.00218637,"fc8d62"
1,34000001,36000000,0.00193885,"fc8d62"
1,35000001,37000000,0.00227216,"fc8d62"
1,36000001,38000000,0.00244981,"fc8d62"
1,37000001,39000000,0.00233615,"fc8d62"
1,38000001,40000000,0.00287429,"fc8d62"
1,39000001,41000000,0.00299858,"fc8d62"
1,40000001,42000000,0.00239002,"fc8d62"
1,41000001,43000000,0.00183077,"fc8d62"
1,42000001,44000000,0.00195455,"fc8d62"
1,43000001,45000000,0.00220064,"fc8d62"
1,44000001,46000000,0.00171959,"fc8d62"
1,45000001,47000000,0.00195269,"fc8d62"
1,46000001,48000000,0.00162785,"fc8d62"
1,47000001,49000000,0.00157978,"fc8d62"
1,48000001,50000000,0.00271589,"fc8d62"
1,49000001,51000000,0.00292571,"fc8d62"
1,50000001,52000000,0.00275774,"fc8d62"
1,51000001,53000000,0.00276261,"fc8d62"
1,52000001,54000000,0.00234362,"fc8d62"
1,53000001,55000000,0.00243539,"fc8d62"
1,54000001,56000000,0.00264848,"fc8d62"
1,55000001,57000000,0.00258511,"fc8d62"
1,56000001,58000000,0.00272035,"fc8d62"
1,57000001,59000000,0.00235882,"fc8d62"
1,58000001,60000000,0.00185711,"fc8d62"
1,59000001,61000000,0.00190635,"fc8d62"
1,60000001,62000000,0.00228201,"fc8d62"
1,61000001,63000000,0.00213365,"fc8d62"
1,62000001,64000000,0.00200991,"fc8d62"
1,63000001,65000000,0.00288579,"fc8d62"
1,64000001,66000000,0.0030859,"fc8d62"
1,65000001,67000000,0.0029666,"fc8d62"
1,66000001,68000000,0.00321726,"fc8d62"
1,67000001,69000000,0.00286894,"fc8d62"
1,68000001,70000000,0.00251421,"fc8d62"
1,69000001,71000000,0.00245543,"fc8d62"
1,70000001,72000000,0.00272872,"fc8d62"
1,71000001,73000000,0.00275544,"fc8d62"
1,72000001,74000000,0.00233611,"fc8d62"
1,73000001,75000000,0.00239894,"fc8d62"
1,74000001,76000000,0.00231941,"fc8d62"
1,75000001,77000000,0.00180664,"fc8d62"
1,76000001,78000000,0.00226667,"fc8d62"
1,77000001,79000000,0.00283397,"fc8d62"
1,78000001,80000000,0.00287662,"fc8d62"
1,79000001,81000000,0.00234625,"fc8d62"
1,80000001,82000000,0.0019573,"fc8d62"
1,81000001,83000000,0.00270198,"fc8d62"
1,82000001,84000000,0.00269723,"fc8d62"
1,83000001,85000000,0.0021944,"fc8d62"
1,84000001,86000000,0.00225548,"fc8d62"
1,85000001,87000000,0.00261104,"fc8d62"
1,86000001,88000000,0.00288493,"fc8d62"
1,87000001,89000000,0.00216501,"fc8d62"
1,88000001,90000000,0.00203434,"fc8d62"
1,89000001,91000000,0.00235947,"fc8d62"
1,90000001,92000000,0.00227473,"fc8d62"
1,91000001,93000000,0.0024914,"fc8d62"
1,92000001,94000000,0.00300239,"fc8d62"
1,93000001,95000000,0.00206811,"fc8d62"
1,94000001,96000000,0.00137066,"fc8d62"
1,95000001,97000000,0.00208815,"fc8d62"
1,96000001,98000000,0.00201296,"fc8d62"
1,97000001,99000000,0.00185413,"fc8d62"
1,98000001,100000000,0.00200338,"fc8d62"
1,99000001,101000000,0.0018449,"fc8d62"
1,100000001,102000000,0.00225633,"fc8d62"
1,101000001,103000000,0.00281097,"fc8d62"
1,102000001,104000000,0.00254657,"fc8d62"
1,103000001,105000000,0.00209743,"fc8d62"
1,104000001,106000000,0.00216584,"fc8d62"
1,105000001,107000000,0.00228233,"fc8d62"
1,106000001,108000000,0.00248895,"fc8d62"
1,107000001,109000000,0.00234583,"fc8d62"
1,108000001,110000000,0.00211746,"fc8d62"
1,109000001,111000000,0.00222638,"fc8d62"
1,110000001,112000000,0.00216945,"fc8d62"
1,111000001,113000000,0.0027253,"fc8d62"
1,112000001,114000000,0.00234868,"fc8d62"
1,113000001,115000000,0.00212889,"fc8d62"
1,114000001,116000000,0.0028884,"fc8d62"
1,115000001,117000000,0.00294487,"fc8d62"
1,116000001,118000000,0.00317158,"fc8d62"
1,117000001,118073833,0.00187079,"fc8d62"
1,118000001,118073833,7.27e-05,"fc8d62"
10,1,2000000,0.00214039,"fc8d62"
10,1000001,3000000,0.00251528,"fc8d62"
10,2000001,4000000,0.00232819,"fc8d62"
10,3000001,5000000,0.00272027,"fc8d62"
10,4000001,6000000,0.00265666,"fc8d62"
10,5000001,7000000,0.00204029,"fc8d62"
10,6000001,8000000,0.00243494,"fc8d62"
10,7000001,9000000,0.00195099,"fc8d62"
10,8000001,10000000,0.00213962,"fc8d62"
10,9000001,11000000,0.00257501,"fc8d62"
10,10000001,12000000,0.00228696,"fc8d62"
10,11000001,13000000,0.00247688,"fc8d62"
10,12000001,14000000,0.00319992,"fc8d62"
10,13000001,15000000,0.00353053,"fc8d62"
10,14000001,16000000,0.0029518,"fc8d62"
10,15000001,17000000,0.00279691,"fc8d62"
10,16000001,18000000,0.00238338,"fc8d62"
10,17000001,19000000,0.00239115,"fc8d62"
10,18000001,20000000,0.00305802,"fc8d62"
10,19000001,21000000,0.00298784,"fc8d62"
10,20000001,22000000,0.00286005,"fc8d62"
10,21000001,23000000,0.00258957,"fc8d62"
10,22000001,24000000,0.00266365,"fc8d62"
10,23000001,25000000,0.00278229,"fc8d62"
10,24000001,26000000,0.00231445,"fc8d62"
