"Chr","Start","End","Value_1","Color_1","Value_2","Color_2"
1,1,2000000,0.00273566,"fc8d62",0.00385702,"8da0cb"
1,1000001,3000000,0.0023958,"fc8d62",0.00331109,"8da0cb"
1,2000001,4000000,0.00319407,"fc8d62",0.0037453,"8da0cb"
1,3000001,5000000,0.002869,"fc8d62",0.00339141,"8da0cb"
1,4000001,6000000,0.00186596,"fc8d62",0.00305246,"8da0cb"
1,5000001,7000000,0.00186182,"fc8d62",0.00323655,"8da0cb"
1,6000001,8000000,0.0018227,"fc8d62",0.00257872,"8da0cb"
1,7000001,9000000,0.00274873,"fc8d62",0.00379657,"8da0cb"
1,8000001,10000000,0.00336569,"fc8d62",0.00435629,"8da0cb"
1,9000001,11000000,0.00248005,"fc8d62",0.00324497,"8da0cb"
1,10000001,12000000,0.00207822,"fc8d62",0.00302669,"8da0cb"
1,11000001,13000000,0.002136,"fc8d62",0.00312409,"8da0cb"
1,12000001,14000000,0.00191688,"fc8d62",0.00358375,"8da0cb"
1,13000001,15000000,0.00142997,"fc8d62",0.00341349,"8da0cb"
1,14000001,16000000,0.00184524,"fc8d62",0.0032091,"8da0cb"
1,15000001,17000000,0.00222845,"fc8d62",0.00317485,"8da0cb"
1,16000001,18000000,0.0023533,"fc8d62",0.00318948,"8da0cb"
1,17000001,19000000,0.00290714,"fc8d62",0.00379966,"8da0cb"
1,18000001,20000000,0.00266726,"fc8d62",0.00395053,"8da0cb"
1,19000001,21000000,0.00247076,"fc8d62",0.00382452,"8da0cb"
1,20000001,22000000,0.00226616,"fc8d62",0.00331355,"8da0cb"
1,21000001,23000000,0.00191545,"fc8d62",0.00280104,"8da0cb"
1,22000001,24000000,0.00230414,"fc8d62",0.00365273,"8da0cb"
1,23000001,25000000,0.0022829,"fc8d62",0.00342365,"8da0cb"
1,24000001,26000000,0.00203738,"fc8d62",0.00265429,"8da0cb"
1,25000001,27000000,0.00256749,"fc8d62",0.00326833,"8da0cb"
1,26000001,28000000,0.00294961,"fc8d62",0.00362133,"8da0cb"
1,27000001,29000000,0.00305097,"fc8d62",0.00387262,"8da0cb"
1,28000001,30000000,0.00350921,"fc8d62",0.00428146,"8da0cb"
1,29000001,31000000,0.00312628,"fc8d62",0.00374588,"8da0cb"
1,30000001,32000000,0.0020384,"fc8d62",0.00289441,"8da0cb"
1,31000001,33000000,0.00221192,"fc8d62",0.00302651,"8da0cb"
1,32000001,34000000,0.0026685,"fc8d62",0.00322508,"8da0cb"
1,33000001,35000000,0.00218637,"fc8d62",0.00280659,"8da0cb"
1,34000001,36000000,0.00193885,"fc8d62",0.00259683,"8da0cb"
1,35000001,37000000,0.00227216,"fc8d62",0.00306934,"8da0cb"
1,36000001,38000000,0.00244981,"fc8d62",0.00315833,"8da0cb"
1,37000001,39000000,0.00233615,"fc8d62",0.0027569,"8da0cb"
1,38000001,40000000,0.00287429,"fc8d62",0.00301961,"8da0cb"
1,39000001,41000000,0.00299858,"fc8d62",0.00366663,"8da0cb"
1,40000001,42000000,0.00239002,"fc8d62",0.00358053,"8da0cb"
1,41000001,43000000,0.00183077,"fc8d62",0.00287969,"8da0cb"
1,42000001,44000000,0.00195455,"fc8d62",0.00300182,"8da0cb"
1,43000001,45000000,0.00220064,"fc8d62",0.00293514,"8da0cb"
1,44000001,46000000,0.00171959,"fc8d62",0.00266851,"8da0cb"
1,45000001,47000000,0.00195269,"fc8d62",0.00307575,"8da0cb"
1,46000001,48000000,0.00162785,"fc8d62",0.00232833,"8da0cb"
1,47000001,49000000,0.00157978,"fc8d62",0.00198247,"8da0cb"
1,48000001,50000000,0.00271589,"fc8d62",0.0028382,"8da0cb"
1,49000001,51000000,0.00292571,"fc8d62",0.00358703,"8da0cb"
1,50000001,52000000,0.00275774,"fc8d62",0.00370085,"8da0cb"
1,51000001,53000000,0.00276261,"fc8d62",0.0033029,"8da0cb"
1,52000001,54000000,0.00234362,"fc8d62",0.00306411,"8da0cb"
1,53000001,55000000,0.00243539,"fc8d62",0.00300832,"8da0cb"
1,54000001,56000000,0.00264848,"fc8d62",0.00287086,"8da0cb"
1,55000001,57000000,0.00258511,"fc8d62",0.00296517,"8da0cb"
1,56000001,58000000,0.00272035,"fc8d62",0.00377536,"8da0cb"
1,57000001,59000000,0.00235882,"fc8d62",0.00344863,"8da0cb"
1,58000001,60000000,0.00185711,"fc8d62",0.00267861,"8da0cb"
1,59000001,61000000,0.00190635,"fc8d62",0.00293165,"8da0cb"
1,60000001,62000000,0.00228201,"fc8d62",0.00311466,"8da0cb"
1,61000001,63000000,0.00213365,"fc8d62",0.00261019,"8da0cb"
1,62000001,64000000,0.00200991,"fc8d62",0.00272164,"8da0cb"
1,63000001,65000000,0.00288579,"fc8d62",0.00390309,"8da0cb"
1,64000001,66000000,0.0030859,"fc8d62",0.00400435,"8da0cb"
1,65000001,67000000,0.0029666,"fc8d62",0.00353131,"8da0cb"
1,66000001,68000000,0.00321726,"fc8d62",0.00374655,"8da0cb"
1,67000001,69000000,0.00286894,"fc8d62",0.00372618,"8da0cb"
1,68000001,70000000,0.00251421,"fc8d62",0.00343218,"8da0cb"
1,69000001,71000000,0.00245543,"fc8d62",0.00357542,"8da0cb"
1,70000001,72000000,0.00272872,"fc8d62",0.00361729,"8da0cb"
1,71000001,73000000,0.00275544,"fc8d62",0.00356433,"8da0cb"
1,72000001,74000000,0.00233611,"fc8d62",0.00370685,"8da0cb"
1,73000001,75000000,0.00239894,"fc8d62",0.00340034,"8da0cb"
1,74000001,76000000,0.00231941,"fc8d62",0.00269979,"8da0cb"
1,75000001,77000000,0.00180664,"fc8d62",0.00237091,"8da0cb"
1,76000001,78000000,0.00226667,"fc8d62",0.00308506,"8da0cb"
1,77000001,79000000,0.00283397,"fc8d62",0.00370729,"8da0cb"
1,78000001,80000000,0.00287662,"fc8d62",0.00389768,"8da0cb"
1,79000001,81000000,0.00234625,"fc8d62",0.00326592,"8da0cb"
1,80000001,82000000,0.0019573,"fc8d62",0.00283926,"8da0cb"
1,81000001,83000000,0.00270198,"fc8d62",0.00370157,"8da0cb"
1,82000001,84000000,0.00269723,"fc8d62",0.00330382,"8da0cb"
1,83000001,85000000,0.0021944,"fc8d62",0.0025783,"8da0cb"
1,84000001,86000000,0.00225548,"fc8d62",0.00289062,"8da0cb"
1,85000001,87000000,0.00261104,"fc8d62",0.00337903,"8da0cb"
1,86000001,88000000,0.00288493,"fc8d62",0.00368482,"8da0cb"
1,87000001,89000000,0.00216501,"fc8d62",0.00310319,"8da0cb"
1,88000001,90000000,0.00203434,"fc8d62",0.00280311,"8da0cb"
1,89000001,91000000,0.00235947,"fc8d62",0.00317427,"8da0cb"
