numtID	sampleID	contigID	total	humanN	chimpN	pct_human	age
HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:2:1216:3298:100374	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:2:1216:3298:100374	14	14	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:2203:13733:87900	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:2203:13733:87900	14	14	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:1:2115:7547:33934	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:1:2115:7547:33934	14	14	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:1:1102:14374:88800	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:1:1102:14374:88800	14	14	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:1:1110:19511:96743	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:1:1110:19511:96743	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:2109:18622:68328	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:2109:18622:68328	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:2:1212:14901:95699	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:2:1212:14901:95699	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:1112:4739:81332	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:1112:4739:81332	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:1:2101:11046:90466	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:1:2101:11046:90466	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:1:1209:15932:14782	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:1:1209:15932:14782	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:1206:3030:66263	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:1206:3030:66263	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:1:2211:9029:50175	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:1:2211:9029:50175	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:1:1214:2479:86416	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:1:1214:2479:86416	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:1:1108:2361:49384	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:1:1108:2361:49384	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:1111:19547:56316	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:1111:19547:56316	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:1116:9984:89109	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:1116:9984:89109	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:2103:9224:13806	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:2103:9224:13806	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:1:2212:16654:16214	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:1:2212:16654:16214	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:2113:1284:35260	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:2113:1284:35260	0	0	0	0.0	0.0
HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:1:1104:16179:68324	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:1:1104:16179:68324	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:1102:5400:84803	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:1102:5400:84803	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:2:2101:4652:39612	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:2:2101:4652:39612	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:1:1114:4670:84935	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:1:1114:4670:84935	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:2208:4751:3047	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:2208:4751:3047	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:1:1113:4524:43966	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:1:1113:4524:43966	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:1:2215:12147:90242	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:1:2215:12147:90242	13	13	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:1201:8315:92962	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:2:1201:8315:92962	12	12	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:2109:1693:100089	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:2109:1693:100089	12	12	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:1:2203:17291:3305	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:1:2203:17291:3305	11	11	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:2:1105:9906:87325	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:2:1105:9906:87325	11	11	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:2:2102:16973:12714	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:2:2102:16973:12714	13	11	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:2:2108:7443:62520	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:2:2108:7443:62520	13	10	1	0.9090909090909091	0.5454545454545454
HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:2:1116:6617:42041	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:2:1116:6617:42041	11	9	1	0.9	0.6000000000000001
HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:2:2104:13728:46132	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:2:2104:13728:46132	9	9	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:1:1205:9697:44594	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:62:HB657ADXX:1:1205:9697:44594	9	9	0	1.0	0.0
HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:2:1105:2846:26013	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:58:HB675ADXX:2:1105:2846:26013	2	1	1	0.5	3.0
HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:1109:6611:29288	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:65:HB7ACADXX:2:1109:6611:29288	0	0	0	0.0	0.0
HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:1:2208:9050:85122	HG006_all_regions	HG006_chr1.633434.634463|HISEQ1:60:HB6D7ADXX:1:2208:9050:85122	0	0	0	0.0	0.0
