sampleID	chr	strand	pointGroup	Group	readsCount	pos	type
HG006	chr1	+	nu_Tend_Bleft	nuleft	1	633520.0	all
HG006	chr1	+	nu_Tend_Bleft	nuleft	2	634107.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	2	633372.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633375.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633376.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633378.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633379.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633383.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633387.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633389.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633391.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633392.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633393.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633401.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633403.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633932.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633945.0	all
HG006	chr1	+	nu_Tstart_Bright	nuright	1	633966.0	all
HG006	chrM	+	mt_Tend	mt_Tend	1	8419.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8203.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8204.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8207.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8208.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8209.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8214.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	2	8215.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8217.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8222.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8224.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8226.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8228.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8229.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8243.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8277.0	all
HG006	chrM	+	mt_Tstart	mt_Tstart	1	8309.0	all
