Chr	Start	End
chr1	9500	10500
chr1	9500	10500
chr1	9500	10500
chr1	9500	10504
chr1	9500	10534
chr1	9500	10857
chr1	9505	10902
chr1	9619	10631
chr1	627925	635130
chr1	628031	635340
chr1	628034	634525
chr1	628045	635329
chr1	628075	635314
chr1	628105	635029
chr1	628106	635259
chr1	628113	635344
chr1	628119	635333
chr1	628124	635124
chr1	628129	634655
chr1	628135	635333
chr1	628140	635336
chr1	628142	635361
chr1	628146	634958
chr1	628148	634863
chr1	628148	635022
chr1	628157	635123
chr1	628157	635346
chr1	628160	633329
chr1	628161	634659
chr1	628161	635013
chr1	628161	635123
chr1	628164	634497
chr1	628167	635346
chr1	628171	635329
chr1	628172	635356
chr1	628174	635278
chr1	628176	635429
chr1	628177	631787
chr1	628179	635314
chr1	628180	635123
chr1	628183	633427
chr1	628186	635017
chr1	628187	635004
chr1	628187	635315
chr1	628191	635003
chr1	628192	634524
chr1	628197	635223
chr1	628198	634475
chr1	628202	635257
chr1	628204	635346
chr1	628205	635245
chr1	628206	633378
chr1	628207	635326
chr1	628208	635251
chr1	628208	635356
chr1	628209	635260
chr1	628210	635271
chr1	628211	635273
chr1	628213	634455
chr1	628213	635306
chr1	628215	635354
chr1	628218	635252
chr1	628219	635316
chr1	628227	634524
chr1	628229	635330
chr1	628230	635205
chr1	628234	631751
chr1	628235	634521
chr1	628237	634709
chr1	628237	635257
chr1	628238	635365
chr1	628240	635110
chr1	628240	635331
chr1	628240	635348
chr1	628241	635044
chr1	628242	635300
chr1	628243	635331
chr1	628244	635270
chr1	628244	635362
chr1	628245	635301
chr1	628245	635309
chr1	628246	633770
chr1	628247	634479
chr1	628249	635101
chr1	628253	634453
chr1	628253	635230
chr1	628253	635328
chr1	628255	635256
chr1	628256	633309
chr1	628256	634750
chr1	628257	635278
chr1	628258	635111
chr1	628259	634980
chr1	628259	635331
chr1	628263	635029
chr1	628263	635350
chr1	628265	635348
chr1	628266	635318
chr1	628266	635327
chr1	628267	635180
chr1	628268	635320
chr1	628268	635333
chr1	628269	631745
chr1	628269	634622
chr1	628269	634813
chr1	628270	635042
chr1	628270	635273
chr1	628271	635358
chr1	628272	635043
chr1	628272	635281
chr1	628273	633330
chr1	628275	635205
chr1	628275	635299
chr1	628275	635316
chr1	628276	635376
chr1	628277	635229
chr1	628278	634674
chr1	628278	635129
chr1	628278	635287
chr1	628279	635033
chr1	628280	635040
chr1	628280	635267
chr1	628281	635303
chr1	628282	634756
chr1	628283	635204
chr1	628283	635226
chr1	628283	635259
chr1	628284	635356
chr1	628285	634555
chr1	628285	635264
chr1	628287	635016
chr1	628287	635275
chr1	628288	634630
chr1	628288	635328
chr1	628288	635350
chr1	628289	634752
chr1	628289	635047
chr1	628289	635115
chr1	628292	635362
chr1	628293	635027
chr1	628293	635267
chr1	628295	635314
chr1	628295	635349
chr1	628296	634660
chr1	628296	635344
chr1	628297	635340
chr1	628299	635048
chr1	628299	635227
chr1	628300	635357
chr1	628301	635303
chr1	628303	631756
chr1	628303	635220
chr1	628304	633355
chr1	628304	635105
chr1	628304	635311
chr1	628304	635328
chr1	628305	635003
chr1	628305	635335
chr1	628305	635676
chr1	628306	635221
chr1	628307	634677
chr1	628307	635313
chr1	628307	635691
chr1	628308	634461
chr1	628308	635349
chr1	628309	633356
chr1	628309	634756
chr1	628309	635299
chr1	628309	635308
chr1	628310	633596
chr1	628310	635303
chr1	628311	635104
chr1	628311	635222
chr1	628311	635238
chr1	628311	635334
chr1	628311	635354
chr1	628312	634909
chr1	628312	635028
chr1	628312	635136
chr1	628312	635220
chr1	628312	635289
chr1	628313	635253
chr1	628313	635351
chr1	628314	633216
chr1	628314	635205
chr1	628315	635233
chr1	628315	635270
chr1	628315	635321
chr1	628316	635033
chr1	628316	635037
chr1	628316	635253
chr1	628316	635272
chr1	628316	635334
chr1	628317	634792
chr1	628317	634948
chr1	628317	635031
chr1	628317	635343
chr1	628318	635003
chr1	628318	635040
chr1	628318	635331
chr1	628319	635043
chr1	628319	635230
chr1	628319	635257
chr1	628319	635269
chr1	628320	634661
chr1	628320	635006
chr1	628320	635220
chr1	628320	635221
chr1	628321	634483
chr1	628321	634772
chr1	628321	635267
chr1	628321	635319
chr1	628322	635039
chr1	628322	635322
chr1	628322	635553
chr1	628323	635271
chr1	628323	635328
chr1	628323	635334
chr1	628324	631762
chr1	628324	631833
chr1	628324	635032
chr1	628324	635242
chr1	628324	635260
chr1	628324	635301
chr1	628325	634759
chr1	628326	635228
chr1	628326	635247
chr1	628327	635010
chr1	628328	635326
chr1	628329	633325
chr1	628329	633325
chr1	628329	634525
chr1	628329	635042
chr1	628329	635263
chr1	628330	634487
chr1	628330	634525
chr1	628330	634817
chr1	628330	635034
chr1	628330	635120
chr1	628330	635296
chr1	628330	635322
chr1	628331	634624
chr1	628331	634674
chr1	628331	635251
chr1	628331	635305
chr1	628331	635332
chr1	628331	635341
chr1	628331	635362
chr1	628332	635205
chr1	628332	635343
chr1	628333	634554
chr1	628333	635309
chr1	628334	635221
chr1	628334	635305
chr1	628334	635314
chr1	628335	633368
chr1	628335	634658
chr1	628335	635200
chr1	628335	635232
chr1	628335	635300
chr1	628335	635373
chr1	628336	635247
chr1	628336	635340
chr1	628337	634752
chr1	628337	634779
chr1	628337	635048
chr1	628337	635303
chr1	628337	635323
chr1	628338	633368
chr1	628338	635006
chr1	628338	635077
chr1	628339	635106
chr1	628339	635118
chr1	628340	634497
chr1	628340	635005
chr1	628340	635045
chr1	628340	635122
chr1	628340	635319
chr1	628340	635324
chr1	628340	635367
chr1	628341	635242
chr1	628341	635251
chr1	628341	635356
chr1	628342	635044
chr1	628342	635128
chr1	628342	635146
chr1	628342	635248
chr1	628342	635253
chr1	628342	635340
chr1	628343	634505
chr1	628343	635244
chr1	628343	635377
chr1	628344	635109
chr1	628344	635299
chr1	628344	635320
chr1	628344	635347
chr1	628344	635354
chr1	628344	635358
chr1	628345	634850
chr1	628345	635117
chr1	628345	635247
chr1	628346	635218
chr1	628346	635314
chr1	628346	635380
chr1	628347	631765
chr1	628347	635018
chr1	628347	635298
chr1	628347	635318
chr1	628347	635329
chr1	628348	634637
chr1	628348	635302
chr1	628349	631701
chr1	628349	631743
chr1	628349	634462
chr1	628349	634843
chr1	628349	635035
chr1	628349	635043
chr1	628349	635334
chr1	628349	635341
chr1	628349	635357
chr1	628349	635394
chr1	628350	634785
chr1	628350	635044
chr1	628350	635106
chr1	628350	635303
chr1	628350	635316
chr1	628350	635347
chr1	628351	635289
chr1	628351	635321
chr1	628351	635326
chr1	628351	635327
chr1	628351	635372
chr1	628352	634912
chr1	628352	635035
chr1	628352	635115
chr1	628352	635118
chr1	628353	634499
chr1	628353	635042
chr1	628353	635205
chr1	628353	635224
chr1	628353	635304
chr1	628353	635306
chr1	628354	634768
chr1	628355	635134
chr1	628355	635224
chr1	628355	635309
chr1	628355	635334
chr1	628356	635106
chr1	628356	635288
chr1	628356	635354
chr1	628356	635359
chr1	628357	631798
chr1	628357	634472
chr1	628357	634978
chr1	628357	635230
chr1	628357	635283
chr1	628357	635370
chr1	628358	634517
chr1	628358	635026
chr1	628358	635343
chr1	628358	635350
chr1	628359	634480
chr1	628359	634524
chr1	628359	635117
chr1	628359	635309
chr1	628359	635325
chr1	628360	635070
chr1	628360	635107
chr1	628360	635203
chr1	628360	635262
chr1	628360	635315
chr1	628360	635343
chr1	628361	635109
chr1	628361	635306
chr1	628361	635359
chr1	628362	634657
chr1	628362	635270
chr1	628362	635317
chr1	628362	635335
chr1	628362	635352
chr1	628363	634944
chr1	628363	635047
chr1	628363	635111
chr1	628363	635220
chr1	628363	635296
chr1	628363	635305
chr1	628364	633329
chr1	628364	635235
chr1	628364	635243
chr1	628364	635255
chr1	628364	635285
chr1	628364	635343
chr1	628365	633369
chr1	628365	634623
chr1	628365	634686
chr1	628365	635040
chr1	628365	635239
chr1	628365	635347
chr1	628365	635374
chr1	628366	631824
chr1	628366	635138
chr1	628366	635240
chr1	628366	635299
chr1	628366	635330
chr1	628366	635348
chr1	628367	635217
chr1	628367	635315
chr1	628368	631768
chr1	628368	635233
chr1	628368	635311
chr1	628368	635328
chr1	628369	633353
chr1	628369	634686
chr1	628369	635029
chr1	628369	635343
chr1	628369	635372
chr1	628370	631744
chr1	628370	634456
chr1	628370	634525
chr1	628370	634525
chr1	628370	635257
chr1	628370	635263
chr1	628370	635299
chr1	628370	635320
chr1	628370	635366
chr1	628371	631759
chr1	628371	634523
chr1	628371	634756
chr1	628371	635033
chr1	628371	635104
chr1	628371	635278
chr1	628371	635313
chr1	628371	635366
chr1	628372	634764
chr1	628372	635032
chr1	628372	635043
chr1	628372	635138
chr1	628372	635202
chr1	628372	635220
chr1	628372	635234
chr1	628372	635251
chr1	628372	635313
chr1	628372	635343
chr1	628373	633314
chr1	628373	634753
chr1	628373	635029
chr1	628373	635147
chr1	628373	635343
chr1	628373	635365
chr1	628374	631820
chr1	628374	634525
chr1	628374	634673
chr1	628374	635038
chr1	628374	635244
