sampleID	chr	strand	pointGroup	Group	readsCount	pos	type
HG001	chr1	+	nu_Tend_Bleft	nuleft	2	634078.0	all
HG001	chr1	+	nu_Tstart_Bright	nuright	1	633261.0	all
HG001	chr1	+	nu_Tstart_Bright	nuright	1	633729.0	all
HG001	chr1	+	nu_Tstart_Bright	nuright	1	633902.0	all
HG001	chr1	+	nu_Tstart_Bright	nuright	1	633965.0	all
HG001	chr1	+	nu_Tstart_Bright	nuright	1	633967.0	all
HG001	chr1	+	nu_Tstart_Bright	nuright	1	634346.0	all
HG001	chrM	+	mt_Tend	mt_Tend	1	8204.0	all
HG001	chrM	+	mt_Tstart	mt_Tstart	1	8165.0	all
HG001	chrM	+	mt_Tstart	mt_Tstart	1	8169.0	all
HG001	chrM	+	mt_Tstart	mt_Tstart	1	8223.0	all
HG001	chrM	+	mt_Tstart	mt_Tstart	1	8276.0	all
HG001	chrM	+	mt_Tstart	mt_Tstart	1	8714.0	all
HG001	chrM	-	mt_Tstart	mt_Tstart	1	9888.0	all
